,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10729.5,1183.87,2356.08,2523.0,3285.31,7681.1,1244945.16,2387645.66,5893125.13,8460118.33,11260092.28,3835899.12,46974030.05,47139022.9,66176127.28,53686708.43
d_1,1175.98,13562.81,1169.65,1900.27,3181.95,8765.23,1378612.57,3706210.02,9712470.95,1619177.36,14607361.42,17681437.85,47957622.67,55555981.36,97199995.98,67907593.25
e_1,1213.46,1334.72,14075.77,2402.58,2630.87,8157.83,1226174.63,3320116.72,5291476.24,13169013.67,11166004.72,13769547.48,54463512.14,44529669.32,77790568.02,16794480.49
c_1,1119.36,1280.78,1347.33,26377.85,5996.79,9141.94,1090430.31,2684443.16,1055089.57,8116509.78,8693901.73,13283702.32,41721773.35,45300634.35,85359796.05,64755905.76
b_1,1040.38,1510.48,1142.06,2881.26,39570.31,15739.63,1242807.3,3139557.72,3529691.11,6622379.25,2802504.95,11959493.17,43714519.54,37870339.43,65583666.02,69743081.76
a_1,1333.71,1454.68,1712.49,1682.57,2864.45,145119.28,1359823.32,3462074.11,4706254.81,6813956.11,15529498.99,9256098.96,52142868.89,18306117.79,81116639.55,44265784.45
h_1,2607.08,2304.48,2212.92,4013.62,5261.21,14457.16,8030287.4,6723635.52,9853386.01,10604857.89,25832434.67,24553249.51,23452774.28,77418258.0,166050671.48,119129868.43
g_1,2129.6,3567.77,1831.11,3742.9,5296.8,13429.83,1918783.51,27524716.86,8824227.78,9123384.18,24447868.41,36244760.28,83927932.61,101032335.82,51009518.01,99821579.57
c_0,2493.14,2767.38,2139.35,1475.99,4369.25,16369.32,2173468.73,6841349.93,25983499.5,12135238.64,48862170.54,29051795.87,92690100.42,91949495.09,135486011.42,126807329.32
d_0,2006.35,511.43,2206.57,7779.16,5098.61,15761.66,1996060.87,8100775.35,7217166.43,35751236.78,28640686.21,28553315.33,71283161.31,78776922.79,146477426.26,127473999.67
b_0,1920.57,3153.29,2246.22,5010.4,1712.2,11681.81,2423300.34,6936958.86,8620720.07,13856309.11,70126067.49,28933846.28,104980620.24,224864184.15,146044534.16,140054538.14
f_0,733.97,2688.74,2329.41,4252.82,6131.79,14214.32,2479547.16,7200840.59,9858556.99,13411551.21,28255363.42,82561607.51,80864714.82,94224658.69,183177589.42,289420549.16
h_0,2284.16,2586.53,2612.21,4323.35,4442.09,17580.87,803211.7,7379508.07,8824227.78,12322492.92,23911394.81,22176635.93,28362996.99,94858974.02,199732073.79,114688623.34
a_0,2177.6,2706.05,2553.61,4302.76,5248.97,5402.21,2015606.73,6450810.8,9038292.6,13883563.45,21759716.32,30215718.59,112687486.69,427504594.48,198165201.1,105723744.42
g_0,1916.82,3521.87,1852.78,4633.74,4976.66,13765.24,2096294.28,3360486.48,10133316.51,13606302.94,20594017.23,36719249.74,73712624.04,96482149.55,58196494.85,139684861.76
e_0,1560.43,3062.81,1455.63,4351.52,5003.45,22237.56,2507476.76,7081069.43,8929218.59,11224236.31,24502796.7,27481554.91,98989269.94,105907299.68,172969952.02,526766254.87
