,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.75,0.51,0.56,0.34,0.27,0.28,0.74,1.53,0.73,0.7,0.82,0.87,0.78,0.79,0.26,0.9
f_1,0.66,3.96,0.45,0.36,0.34,0.46,0.66,0.75,0.75,0.77,0.8,0.25,0.9,0.69,0.6,0.66
c_1,0.4,0.41,4.02,0.42,0.72,0.28,0.66,0.87,0.73,0.12,0.66,0.83,0.97,0.81,0.83,0.71
d_1,0.35,0.35,0.29,4.2,0.48,0.37,0.99,0.19,0.84,1.69,0.84,0.85,0.96,0.86,0.85,0.99
b_1,0.38,0.34,0.4,0.43,4.83,0.83,0.57,0.77,0.6,0.76,0.14,0.86,0.92,0.8,0.95,0.84
a_1,0.53,0.42,0.35,0.39,0.33,6.66,0.76,0.64,0.65,0.8,1.03,0.75,0.98,0.24,0.89,1.1
h_1,0.55,1.1,0.53,0.81,0.6,0.52,5.83,1.32,1.85,1.48,1.27,1.47,0.46,1.47,0.84,1.85
d_0,0.66,0.77,1.32,0.16,0.73,0.57,1.51,3.31,1.13,1.14,1.56,1.41,1.28,1.77,1.75,1.21
g_1,0.6,0.66,0.57,1.08,0.62,0.61,1.13,1.12,6.43,1.55,1.63,2.3,1.39,1.35,1.37,0.85
c_0,0.68,0.83,0.29,0.9,0.67,0.65,1.62,1.28,1.31,4.04,3.29,1.56,1.87,1.44,1.9,1.56
b_0,0.74,0.72,0.75,0.87,0.25,0.62,1.2,1.48,1.36,1.47,4.59,1.69,1.65,3.16,2.07,1.59
f_0,0.56,0.35,0.81,0.8,0.8,0.76,1.49,1.76,1.23,1.36,1.85,4.79,1.64,1.21,3.59,2.26
h_0,0.59,0.99,0.72,0.66,0.65,0.57,0.76,1.48,1.91,1.49,1.56,1.74,0.63,1.65,1.44,1.93
a_0,0.75,0.76,0.79,0.88,0.59,,1.39,1.85,1.02,1.8,1.19,1.43,1.57,6.38,1.75,1.5
e_0,0.18,0.71,0.9,0.81,0.75,0.99,1.65,1.56,1.18,1.3,1.68,1.3,1.71,1.48,6.54,2.24
g_0,0.57,0.54,0.6,1.26,0.79,0.72,1.14,1.06,0.47,1.36,1.61,2.19,1.47,1.47,1.65,0.67
