,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.4,0.21,0.22,0.16,0.11,0.13,0.2,0.18,0.1,0.15,0.06,0.18,0.11,0.06,0.12
e_1,0.26,0.89,0.18,0.24,0.18,0.12,0.19,0.35,0.16,0.13,0.16,0.14,0.18,0.13,0.06,0.15
d_1,0.28,0.19,0.9,0.18,0.18,0.13,0.17,0.09,0.39,0.13,0.21,0.17,0.2,0.11,0.12,0.15
c_1,0.25,0.22,0.17,0.89,0.35,0.11,0.18,0.18,0.1,0.13,0.11,0.14,0.16,0.1,0.12,0.12
b_1,0.2,0.19,0.21,0.19,0.89,0.3,0.19,0.2,0.17,0.15,0.08,0.15,0.19,0.08,0.09,0.13
a_1,0.23,0.19,0.24,0.18,0.21,0.88,0.23,0.22,0.2,0.15,0.18,0.18,0.21,0.05,0.13,0.19
h_1,0.41,0.26,0.3,0.24,0.19,0.13,0.58,0.23,0.25,0.23,0.21,0.17,0.14,0.12,0.14,0.25
d_0,0.3,0.29,0.16,0.49,0.24,0.13,0.25,0.45,0.14,0.15,0.19,0.17,0.24,0.13,0.12,0.17
c_0,0.34,0.29,0.28,0.15,0.21,0.17,0.24,0.26,0.45,0.17,0.43,0.16,0.25,0.16,0.16,0.2
g_1,0.2,0.25,0.47,0.25,0.21,0.14,0.21,0.23,0.22,0.55,0.21,0.29,0.26,0.15,0.16,0.13
b_0,0.36,0.34,0.27,0.27,0.11,0.12,0.22,0.22,0.24,0.19,0.45,0.2,0.22,0.31,0.18,0.19
f_0,0.2,0.22,0.32,0.28,0.24,0.15,0.24,0.25,0.25,0.19,0.23,0.45,0.27,0.15,0.33,0.19
h_0,0.37,0.3,0.28,0.25,0.22,0.16,0.14,0.25,0.26,0.22,0.2,0.19,0.12,0.12,0.11,0.24
a_0,0.28,0.28,0.32,0.29,0.2,0.07,0.23,0.24,0.27,0.19,0.27,0.23,0.24,0.37,0.12,0.22
e_0,0.27,0.16,0.31,0.27,0.3,0.17,0.24,0.19,0.29,0.16,0.24,0.18,0.29,0.12,0.41,0.19
g_0,0.24,0.25,0.44,0.22,0.24,0.14,0.22,0.23,0.22,0.16,0.19,0.32,0.2,0.15,0.15,0.13
