,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,15.8,0.43,0.65,0.75,0.55,0.42,0.82,2.36,0.89,0.91,0.85,1.02,0.99,1.28,0.47,1.01
d_1,0.42,20.35,0.54,0.41,0.54,0.54,0.82,0.39,2.3,0.94,1.32,1.09,1.07,0.91,1.47,1.1
f_1,1.2,0.48,16.67,0.65,0.41,0.68,0.71,0.75,0.75,0.72,0.79,0.28,1.09,0.75,0.7,0.84
c_1,0.49,0.48,0.56,17.07,1.46,0.46,1.01,0.72,0.35,0.84,0.62,0.93,0.83,0.8,0.89,0.78
b_1,0.55,0.63,0.63,0.44,18.99,1.31,0.77,0.78,0.71,0.86,0.37,0.82,0.89,0.86,0.73,0.68
a_1,0.64,0.61,0.65,0.56,0.33,28.81,1.05,0.97,0.93,0.94,1.08,1.11,0.85,0.96,0.9,0.5
h_1,0.7,0.76,1.04,0.74,0.67,0.71,5.18,0.99,0.96,1.48,1.19,1.16,0.74,1.5,1.2,1.23
d_0,0.66,0.28,0.84,2.11,0.78,0.69,1.34,3.02,0.62,1.09,1.22,1.0,1.18,0.97,1.0,1.37
c_0,0.72,0.97,0.76,0.48,0.6,0.72,1.04,1.17,3.01,0.94,3.5,1.47,1.17,1.33,1.49,1.43
g_1,0.48,1.66,0.54,0.8,0.71,0.53,1.15,1.0,1.13,6.33,1.3,2.25,0.91,0.85,1.38,1.09
b_0,0.71,0.95,0.89,0.78,0.4,0.59,1.55,1.05,1.35,0.99,4.04,1.36,1.44,1.41,1.17,3.29
f_0,0.64,1.1,0.31,0.78,0.75,0.74,1.39,1.33,1.31,1.1,1.43,3.58,1.33,1.74,3.08,1.33
h_0,0.82,0.84,1.15,0.69,0.54,0.64,0.73,1.24,1.07,1.63,1.11,1.23,0.64,1.72,1.07,0.92
g_0,0.54,1.7,0.54,0.83,0.65,0.69,1.33,0.91,1.19,0.89,1.07,2.28,1.12,0.67,1.21,1.14
e_0,0.3,0.98,0.73,0.81,0.73,0.88,1.56,1.03,1.42,1.11,1.71,1.52,1.88,1.55,5.26,1.29
a_0,0.64,0.88,0.64,0.91,0.79,0.48,1.22,1.26,1.22,1.33,1.56,1.33,1.62,1.25,1.28,4.18
