,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.67,1.25,0.85,0.77,0.7,0.67,0.9,1.02,0.85,0.88,0.94,0.66,0.94,0.72,1.03,0.8
e_1,0.92,1.7,0.96,0.67,0.74,0.69,0.98,1.56,1.02,0.94,1.05,1.03,1.06,0.75,1.0,0.94
c_1,0.8,0.75,1.85,0.88,1.34,0.86,0.89,0.83,0.91,0.56,0.69,0.91,0.82,0.92,0.83,0.94
d_1,0.84,0.82,0.65,2.2,0.71,0.65,1.08,0.66,0.98,1.77,1.2,1.05,1.02,1.03,1.09,1.03
b_1,0.78,0.75,0.8,0.84,2.11,1.54,0.88,0.86,0.82,0.95,0.71,0.97,1.04,1.08,0.71,1.02
a_1,0.89,0.76,0.8,0.85,0.79,2.77,1.01,0.91,0.98,0.89,1.09,1.09,1.21,1.1,0.85,1.19
h_1,1.06,0.84,0.9,0.9,0.84,0.77,1.72,0.91,1.26,1.01,0.97,1.1,0.76,1.22,1.03,1.28
d_0,0.93,0.8,1.41,0.64,0.92,0.71,1.05,1.37,1.07,0.72,0.94,0.91,1.06,1.14,1.08,1.02
g_1,0.85,0.69,0.83,1.38,0.89,0.79,1.02,0.8,2.08,1.1,1.0,1.55,1.02,1.26,1.0,0.9
c_0,1.0,0.91,0.79,0.95,0.63,0.85,1.06,0.99,1.13,1.52,1.97,1.19,1.04,1.03,1.45,1.06
b_0,1.02,0.95,0.93,0.91,0.69,0.63,1.11,1.04,1.12,1.06,1.7,1.07,1.07,1.11,2.15,1.11
f_0,0.74,0.65,1.05,0.98,0.91,0.9,1.08,1.06,1.14,1.03,1.13,1.82,1.16,2.15,0.91,1.18
h_0,1.09,0.89,0.97,0.87,0.94,0.71,0.88,0.93,1.26,1.0,1.11,1.0,0.76,1.16,0.87,1.3
e_0,0.97,0.65,1.07,0.88,0.95,0.95,1.2,0.82,1.06,0.99,0.99,1.11,1.09,2.06,1.06,1.24
a_0,1.03,0.89,0.95,0.83,0.86,0.65,1.11,1.09,1.3,0.95,1.11,1.09,1.23,1.17,2.08,1.14
g_0,0.75,0.77,0.94,1.22,0.93,0.84,1.08,0.92,0.96,1.06,1.07,1.63,1.02,1.38,0.98,0.99
