,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,99.0,45.79,65.9,97.93,104.12,367.05,8721.75,12705.85,27375.14,21497.69,23996.03,48064.05,71496.15,89119.09,69029.26,189003.56
f_1,69.4,108.61,60.25,74.76,90.92,319.01,6486.49,10670.79,15302.97,17514.53,21707.06,25319.39,49826.87,62515.82,79551.48,188246.06
d_1,37.8,50.35,134.63,56.52,92.99,303.72,7826.2,10362.14,11776.42,28788.72,24368.0,45830.66,55384.94,70391.3,110125.93,194158.75
c_1,34.97,40.44,63.82,148.74,161.89,263.03,6936.47,10374.11,11717.61,9107.92,14542.63,35155.97,51524.38,59248.68,89780.78,163423.97
b_1,34.82,45.47,51.94,45.09,202.82,434.83,5708.86,11001.16,11869.24,10644.99,9867.91,38845.63,34042.18,70249.88,81659.48,170571.45
a_1,22.05,28.69,34.28,40.14,50.29,535.88,4625.42,7516.64,7711.73,10696.1,13078.77,23711.08,31693.6,48026.83,64504.91,118968.97
h_1,9.7,17.09,16.43,19.69,27.27,73.34,3333.87,3786.2,3645.7,4497.59,5562.51,12344.08,14199.34,14658.33,27455.54,66415.56
g_1,9.71,9.47,19.73,17.76,20.82,52.57,1636.66,4821.53,3774.64,4045.25,4672.25,14345.17,13474.22,19392.13,22840.31,30777.29
d_0,8.3,10.13,9.62,25.33,22.76,72.46,1704.85,2402.7,4881.01,3255.68,4457.68,9154.33,11904.29,16140.79,24118.89,40767.05
c_0,8.79,10.15,11.95,14.18,20.37,62.26,1608.07,2417.92,3813.96,5669.35,7615.95,11145.02,13923.29,19040.16,22942.6,40475.63
b_0,9.21,10.26,11.48,15.09,15.75,50.76,1501.02,2222.07,3311.94,3220.32,6607.68,9776.18,19947.13,16593.83,20882.02,36743.87
f_0,5.7,5.93,9.88,12.01,13.96,70.62,1047.67,1528.18,3024.66,3129.04,3133.88,11421.37,9661.11,14973.13,29776.11,28752.95
a_0,6.12,7.84,9.36,9.73,17.81,26.86,1147.77,1564.53,2174.48,2616.29,2925.11,7349.68,12637.63,11394.3,19942.32,32516.38
h_0,5.68,9.37,9.25,10.74,13.47,39.49,785.55,1596.17,2036.79,2253.25,2803.75,5199.44,6926.6,7587.97,16730.09,34386.69
e_0,4.4,6.88,7.13,9.44,11.44,40.14,1047.01,1440.03,1759.37,2037.31,2578.55,4442.08,5880.04,8077.02,21283.22,26066.28
g_0,3.77,5.0,9.52,7.55,8.49,26.37,656.06,1023.57,1423.56,2071.71,2114.57,6601.63,4842.81,6824.15,11346.88,16149.96
