,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,4.26,5.09,4.3,4.38,4.77,0.97,1.07,1.72,1.02,0.9,2.52,0.51,0.98,1.22,0.81
e_1,2.78,1.13,5.14,5.79,6.0,6.21,1.63,1.31,1.76,1.19,1.03,1.29,0.76,1.14,3.59,0.89
c_1,6.49,4.73,1.13,6.64,5.79,5.31,1.57,0.61,1.46,1.8,1.02,0.94,0.9,1.0,0.93,0.72
d_1,7.05,6.59,6.1,1.12,5.28,5.44,1.56,2.42,1.06,1.04,1.28,1.12,0.86,1.2,0.79,0.56
b_1,7.04,7.96,3.61,7.51,1.14,6.37,2.42,1.67,1.7,1.63,3.82,1.24,1.12,1.42,1.31,1.04
a_1,11.53,9.04,10.46,9.15,4.95,1.14,3.46,2.21,3.33,2.53,2.69,2.71,1.36,6.61,1.91,1.4
h_1,16.96,15.88,19.86,18.73,15.41,15.85,1.8,3.95,5.54,3.21,3.49,3.29,3.46,3.53,3.86,2.5
d_0,24.84,11.18,25.95,34.96,29.36,21.07,6.71,2.44,8.66,4.59,4.55,4.39,3.98,4.46,4.86,3.68
g_1,27.9,23.01,27.24,19.66,25.82,23.03,5.1,4.85,1.85,4.59,4.78,4.39,2.59,5.19,3.9,4.75
c_0,23.19,22.02,56.83,12.53,29.05,23.87,6.0,5.89,8.32,2.3,5.79,5.55,4.31,4.82,4.44,4.07
b_0,26.37,25.64,28.91,19.91,68.02,27.9,6.09,5.04,6.8,2.55,2.34,5.19,3.27,7.07,5.38,4.02
f_0,72.64,25.45,32.63,34.2,27.89,23.31,10.02,6.11,4.36,7.56,5.56,2.37,4.64,6.61,6.7,2.48
h_0,42.31,35.89,33.98,27.84,33.6,30.95,14.69,6.88,9.43,6.2,6.51,5.43,9.81,6.21,5.14,5.34
a_0,38.5,37.0,34.69,33.12,48.09,61.91,11.06,7.17,7.8,6.26,3.43,4.69,4.85,2.5,6.96,5.18
e_0,53.47,51.27,59.93,42.51,53.63,30.02,11.06,7.42,11.29,7.56,7.44,3.04,5.02,7.59,2.71,5.03
g_0,39.69,46.01,42.81,38.37,37.69,45.02,9.47,9.57,19.75,10.88,9.39,10.06,4.54,8.54,9.59,10.06
