,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.41,1.03,1.5,1.71,3.79,17.16,35.04,30.09,36.67,43.16,42.99,76.8,85.17,87.02,136.79
e_1,0.71,1.0,1.05,1.58,1.58,3.7,17.24,30.58,30.22,46.3,41.15,50.57,79.82,79.77,104.04,126.13
d_1,0.96,0.97,1.0,1.21,1.45,3.25,15.23,21.34,38.13,28.44,41.61,41.17,68.98,69.16,93.99,95.28
c_1,0.68,0.64,0.82,1.0,1.73,2.65,12.59,20.54,20.66,17.46,25.51,35.66,56.7,54.52,69.61,92.64
b_1,0.58,0.63,0.69,0.6,1.0,3.01,11.09,17.7,20.62,18.9,23.21,29.03,45.69,39.4,58.33,70.52
a_1,0.26,0.27,0.3,0.38,0.33,1.0,4.78,7.04,8.13,8.88,12.57,12.86,22.84,23.34,31.03,38.05
h_1,0.06,0.06,0.07,0.08,0.09,0.2,1.0,1.81,1.61,1.84,2.23,2.8,4.89,4.67,5.27,8.6
g_1,0.03,0.03,0.05,0.05,0.05,0.13,0.54,1.0,1.22,1.15,1.45,1.99,2.65,2.61,3.78,4.86
c_0,0.03,0.03,0.03,0.05,0.05,0.12,0.63,0.82,1.0,1.29,1.89,1.53,2.5,2.82,3.34,4.42
d_0,0.03,0.02,0.04,0.06,0.05,0.11,0.53,0.87,0.74,1.0,1.09,1.44,2.48,2.23,3.09,3.72
b_0,0.02,0.02,0.02,0.04,0.04,0.08,0.46,0.69,0.54,0.9,1.0,1.09,2.21,2.63,2.8,3.23
f_0,0.02,0.02,0.02,0.03,0.04,0.08,0.37,0.5,0.62,0.72,0.91,1.0,1.75,1.7,3.07,2.15
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.38,0.39,0.39,0.46,0.57,1.0,0.88,1.15,1.79
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.22,0.37,0.36,0.44,0.38,0.59,1.15,1.0,1.33,1.62
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.24,0.31,0.32,0.37,0.33,0.89,0.79,1.0,1.13
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.2,0.24,0.25,0.3,0.45,0.56,0.64,0.89,1.0
