,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,118.37,69.16,80.17,147.19,132.71,354.48,9772.61,17203.18,24310.83,45133.92,47523.11,54004.97,136136.8,108947.81,127559.34,197832.7
d_1,82.37,121.62,86.71,102.6,123.59,345.58,10039.33,17221.9,39172.73,21784.1,46003.9,58329.47,133623.79,135128.95,140427.74,194854.02
f_1,109.07,75.31,125.99,105.52,112.31,320.86,8515.06,18583.31,24389.85,28483.03,36681.35,52015.51,111002.2,83935.56,130584.25,198105.0
c_1,56.46,72.45,78.03,159.36,174.08,354.4,8115.34,15365.05,18945.87,20454.09,37311.47,34467.29,125411.12,108981.73,89256.11,183471.52
b_1,64.72,67.94,74.63,84.75,177.75,501.95,8226.35,15958.16,19410.03,23603.86,34361.92,35986.93,120116.09,112763.98,86038.01,173584.55
a_1,51.01,52.69,55.06,69.07,67.9,416.85,6033.63,12288.85,15535.39,18129.05,26938.58,37570.58,78289.21,86172.83,74274.93,115042.67
h_1,19.33,22.04,26.92,30.77,31.42,82.54,3154.87,5428.88,6544.24,6942.25,11731.4,15287.79,31337.28,30664.82,30130.35,64851.26
g_1,15.64,21.48,17.26,21.68,25.45,75.97,1948.5,5435.72,5997.92,5295.31,11706.35,12062.33,24434.58,28045.56,24908.7,42997.4
c_0,15.71,15.8,17.44,20.81,24.21,62.41,2009.4,3673.83,6342.18,6234.6,9420.66,16784.02,27931.09,24912.52,32245.45,41291.24
d_0,11.93,13.39,15.85,34.07,26.77,59.8,1804.23,3208.68,3435.61,6625.67,7803.77,9694.63,25689.55,22124.2,21516.82,40978.97
f_0,10.94,13.33,14.7,19.04,23.57,56.54,1668.65,3170.21,4394.72,4632.38,9371.62,9643.56,24127.26,33644.33,19067.58,34275.85
b_0,11.17,13.73,14.23,20.68,17.22,41.3,1460.88,2762.66,3593.35,4211.45,7109.29,10766.61,22723.65,20310.22,32185.99,32427.61
h_0,8.98,10.46,12.36,14.26,14.91,45.18,1001.51,2726.22,2878.54,3415.39,5230.39,6470.39,14089.53,14672.65,15529.42,31636.36
e_0,8.07,10.38,11.47,13.44,13.87,40.61,1261.57,2275.64,3190.94,3098.68,4813.35,6922.14,18295.69,21184.51,14599.68,26181.2
a_0,8.75,9.68,10.7,14.82,15.11,35.18,1217.18,2220.06,2980.13,3312.32,5334.58,5839.35,17808.7,16924.95,20473.67,28279.91
g_0,7.05,10.91,8.06,12.99,12.83,39.06,865.86,1745.5,2821.29,2602.39,6011.92,5739.43,12915.97,14794.44,11753.21,20044.89
