,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,93.48,108.14,85.5,95.63,120.95,445.43,10961.07,19628.92,22410.45,35302.12,49244.8,35201.88,69290.35,111736.52,195805.18,163131.72
e_1,49.4,110.1,93.89,85.76,169.21,467.02,11356.21,18179.82,33189.63,33571.12,46326.61,50278.34,81402.96,111080.85,200274.2,189688.47
c_1,50.2,55.15,126.79,83.37,220.39,451.84,10847.62,17106.52,16628.15,20659.78,32123.53,45058.03,65941.21,85532.6,188191.46,202328.41
d_1,52.89,61.65,61.07,143.64,119.09,441.24,10048.45,15958.93,14295.24,47120.24,48102.23,47260.85,65799.2,98400.74,173797.42,195429.06
b_1,49.31,41.28,57.42,70.1,214.58,587.47,9347.68,14479.49,15121.81,26388.2,28259.41,34604.13,60852.11,59498.94,162058.85,134040.74
a_1,33.39,33.11,41.72,44.06,69.45,560.51,6269.93,9555.31,11824.28,17135.11,23987.99,24123.91,43896.62,45026.32,105040.49,82936.85
h_1,16.92,15.18,15.83,22.75,31.3,103.32,3752.12,4759.91,4475.53,7495.87,11638.91,9866.99,16202.23,24089.36,56090.48,43273.07
g_1,10.28,12.28,14.96,24.83,27.97,86.76,2078.0,5583.23,3983.17,6594.12,10402.79,12347.83,14498.51,25127.6,35813.77,49319.15
d_0,10.22,10.28,25.64,15.99,32.05,74.75,2380.74,3912.91,5294.09,4804.36,8877.65,10117.07,15234.86,21832.16,40898.17,46832.82
c_0,9.55,11.66,13.47,15.68,18.68,82.32,1845.09,3275.3,4256.32,7550.03,13198.01,8854.77,14822.65,25387.44,40912.46,44763.6
b_0,8.82,10.09,12.95,15.61,16.57,71.87,1780.56,2876.23,2949.47,4609.09,9895.55,7187.53,11736.86,28360.73,32527.7,33458.07
f_0,8.24,7.89,12.91,15.27,21.36,61.64,1768.51,2837.27,3264.16,5352.55,8333.26,10292.02,13399.01,18740.47,29386.89,60010.2
h_0,9.16,8.37,11.58,14.02,20.39,57.19,1263.51,3232.31,2817.28,4382.38,7020.2,6171.1,8819.88,15389.76,31974.86,28083.87
a_0,6.6,7.67,10.13,11.64,17.27,43.71,1431.44,2130.56,2313.42,3074.46,5286.33,5848.04,8625.37,18771.71,22667.34,28409.09
g_0,5.55,6.03,7.25,12.66,13.82,43.25,1071.22,1786.94,1690.16,3043.0,5137.58,6759.31,7228.4,11519.95,17995.7,24881.12
e_0,5.9,4.63,7.62,8.96,17.93,50.16,1133.89,1748.5,1918.69,2816.28,5284.41,3948.65,7682.03,9862.96,18703.66,32754.14
