,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.41,0.23,0.32,0.28,0.29,0.22,0.49,0.97,0.61,0.5,0.48,0.53,0.76,0.54,0.92,
f_1,0.4,2.47,0.24,0.26,0.25,0.31,0.5,0.53,0.7,0.47,0.61,,0.7,0.74,0.87,0.78
d_1,0.23,0.33,2.47,0.35,0.23,0.2,0.67,,0.9,0.37,0.73,0.76,0.77,0.59,0.67,0.43
c_1,0.3,0.29,0.19,2.55,0.41,0.32,0.61,0.58,,0.59,0.47,0.53,1.03,,0.85,0.66
b_1,0.29,0.28,0.33,0.21,2.68,0.37,0.58,0.62,0.62,0.53,,0.57,0.88,0.62,0.69,0.59
a_1,0.28,0.21,0.34,0.24,0.28,3.24,0.54,0.42,0.58,,,0.76,0.75,,0.81,
h_1,0.54,0.66,0.48,0.46,0.51,0.62,3.76,1.28,1.17,1.37,1.11,1.0,,1.06,1.86,1.28
d_0,0.54,0.72,,1.0,0.54,0.78,1.18,3.42,1.08,1.26,1.61,1.37,1.83,1.03,1.2,1.35
c_0,0.54,0.64,0.54,,0.62,0.72,1.17,1.46,3.38,1.41,2.6,1.22,1.16,1.35,1.5,1.31
g_1,0.54,0.62,0.8,0.53,0.51,,0.94,1.3,1.13,4.16,0.92,1.7,1.06,0.93,,1.39
b_0,0.68,0.6,0.54,0.59,,,1.27,1.26,1.1,1.24,3.66,1.51,2.73,2.5,1.57,1.55
f_0,0.67,,0.58,0.69,0.75,0.61,1.47,1.47,1.43,0.99,1.28,3.92,1.45,1.36,1.41,2.25
h_0,0.76,1.05,0.7,0.73,0.56,0.62,,1.52,2.43,1.81,1.01,1.96,,1.72,2.78,1.31
a_0,0.71,0.42,0.56,,0.68,,1.41,1.51,1.21,1.39,0.92,1.36,1.8,4.58,1.68,1.72
g_0,0.59,0.51,1.26,0.65,0.9,0.81,1.22,1.95,1.74,,1.57,2.2,1.81,1.78,,
e_0,,0.55,0.7,0.66,0.78,,1.13,1.1,1.53,1.04,1.55,1.3,2.07,1.49,,4.71
