,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.41,0.83,1.05,0.89,0.9,0.54,0.62,0.57,0.6,,0.63,0.48,0.65,0.45,0.68
e_1,0.71,1.0,1.05,0.82,0.86,0.91,0.73,0.9,0.83,0.6,0.57,0.59,0.71,,0.67,0.45
c_1,1.2,0.96,1.0,0.89,1.27,0.83,0.68,0.57,0.78,,0.65,0.51,0.63,,0.57,0.71
d_1,0.95,1.22,1.13,1.0,0.81,0.92,0.89,,0.55,0.8,0.76,0.61,0.56,0.51,0.62,0.43
b_1,1.13,1.17,0.79,1.23,1.0,1.24,0.69,0.72,0.7,0.68,0.61,,0.65,,0.67,0.53
a_1,1.11,1.09,1.21,1.09,0.81,1.0,0.89,0.94,0.73,,0.69,,0.77,0.6,,0.66
h_1,1.85,1.37,1.46,1.13,1.44,1.13,1.0,0.88,1.23,1.1,0.71,0.83,,0.67,0.86,0.79
d_0,1.61,1.11,1.75,,1.38,1.06,1.13,1.0,0.95,1.19,1.12,0.83,0.97,0.6,0.84,1.1
g_1,1.75,1.21,1.28,1.83,1.42,1.37,0.81,1.06,1.0,0.82,1.37,0.84,0.69,,0.95,
c_0,1.67,1.67,,1.26,1.48,,0.91,0.84,1.22,1.0,1.1,1.3,0.9,0.83,0.85,0.69
f_0,,1.75,1.54,1.31,1.64,1.46,1.41,0.89,0.73,0.91,1.0,1.0,1.11,1.35,,0.77
b_0,1.58,1.69,1.97,1.64,,,1.21,1.2,1.19,0.77,1.0,1.0,0.92,0.7,1.12,0.89
h_0,2.06,1.41,1.6,1.8,1.54,1.3,,1.03,1.46,1.12,0.9,1.09,,0.86,0.82,0.99
e_0,1.54,,,1.96,,1.66,1.48,1.68,,1.21,0.74,1.42,1.16,1.0,,1.05
a_0,2.21,1.5,1.75,1.6,1.49,,1.16,1.19,1.05,1.18,,0.89,1.22,,1.0,
g_0,1.47,2.25,1.4,2.31,1.87,1.51,1.27,0.91,,1.44,1.29,1.12,1.01,0.95,,
