,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.29,1.08,1.3,1.58,3.49,17.86,32.03,33.47,33.16,39.4,43.0,74.89,99.76,125.98,105.36
e_1,0.77,1.0,1.07,1.45,1.68,3.46,19.14,41.33,31.86,31.48,40.28,54.48,83.05,91.73,133.18,134.34
d_1,0.92,0.95,1.0,1.06,1.33,2.82,15.89,30.12,23.8,38.47,33.49,39.17,65.86,79.62,87.1,109.86
c_1,0.76,0.69,0.99,1.0,1.61,2.79,14.89,16.83,27.23,23.98,25.23,36.65,65.43,76.4,83.92,97.91
b_1,0.65,0.6,0.74,0.63,1.0,3.61,13.71,17.92,21.29,23.99,25.8,28.47,49.66,54.18,71.7,76.24
a_1,0.29,0.28,0.34,0.34,0.28,1.0,6.9,7.73,9.71,8.89,13.33,11.46,25.2,30.1,31.95,32.23
h_1,0.05,0.05,0.06,0.07,0.07,0.15,1.0,1.28,1.83,1.71,2.03,2.12,4.07,4.35,6.16,6.02
d_0,0.03,0.02,0.03,0.06,0.06,0.13,0.76,1.0,1.03,0.94,1.41,1.49,2.61,3.08,4.3,4.47
g_1,0.03,0.03,0.04,0.04,0.05,0.1,0.54,0.92,1.0,1.11,1.31,1.69,2.35,3.07,3.73,3.8
c_0,0.03,0.03,0.03,0.04,0.04,0.12,0.61,0.98,0.92,1.0,1.59,1.36,2.57,3.37,3.32,3.99
b_0,0.03,0.03,0.03,0.04,0.04,0.08,0.51,0.76,0.76,0.66,1.0,1.05,2.14,3.26,2.84,3.13
f_0,0.02,0.02,0.03,0.03,0.03,0.09,0.47,0.67,0.59,0.72,0.97,1.0,2.01,2.43,2.12,3.67
h_0,0.01,0.01,0.02,0.01,0.02,0.04,0.25,0.36,0.42,0.39,0.46,0.5,1.0,1.21,1.54,1.3
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.33,0.34,0.3,0.32,0.49,0.83,1.0,1.22,1.24
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.24,0.27,0.31,0.34,0.46,0.62,0.81,1.0,1.04
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.23,0.26,0.26,0.34,0.27,0.77,0.81,0.91,1.0
