,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.32,0.96,0.81,0.66,0.44,0.43,0.44,0.37,0.37,0.36,0.29,0.35,0.32,0.26
d_1,1.17,1.0,1.09,0.86,0.91,0.59,0.49,0.39,0.41,0.55,0.4,0.41,0.35,0.27,0.32,0.29
e_1,0.76,0.92,1.0,1.09,0.98,0.85,0.54,0.48,0.61,0.43,0.47,0.46,0.4,0.34,0.34,0.39
c_1,1.05,1.17,0.91,1.0,1.29,0.6,0.45,0.41,0.32,0.34,0.4,0.31,0.39,0.34,0.31,0.33
b_1,1.25,1.1,1.02,0.78,1.0,1.26,0.62,0.54,0.46,0.49,0.43,0.44,0.37,0.4,0.31,0.36
a_1,1.5,1.69,1.16,1.66,0.8,1.0,0.73,0.63,0.63,0.52,0.57,0.6,0.51,0.44,0.38,0.42
h_1,2.27,2.07,1.83,2.14,1.66,1.46,1.0,1.03,0.81,0.76,0.73,0.76,0.66,0.75,0.55,0.62
g_1,2.25,2.69,2.07,2.34,1.89,1.51,0.98,1.0,0.83,0.88,0.99,0.95,0.68,0.67,0.62,0.69
d_0,2.19,2.52,1.68,3.16,2.27,1.67,1.24,1.22,1.0,0.76,0.83,0.84,0.81,0.78,0.73,0.75
c_0,2.69,1.88,2.24,2.77,2.08,1.87,1.32,1.17,1.33,1.0,1.01,1.34,0.92,0.86,0.87,0.88
f_0,2.58,2.53,2.14,2.49,2.29,1.75,1.33,1.06,1.22,0.95,1.0,1.02,0.84,0.64,0.78,1.1
b_0,2.88,2.4,2.07,3.06,2.39,1.59,1.36,1.03,1.14,0.75,1.01,1.0,0.97,0.86,1.22,0.82
h_0,3.44,2.8,2.55,2.58,2.79,1.95,1.57,1.43,1.19,1.05,1.18,1.05,1.0,1.13,0.87,0.78
g_0,2.88,3.6,3.0,3.02,2.43,2.25,1.34,1.43,1.2,1.24,1.5,1.19,0.86,1.0,1.01,0.91
a_0,2.92,3.12,2.9,3.08,3.36,2.71,1.75,1.52,1.31,1.06,1.34,0.83,1.2,1.01,1.0,0.83
e_0,3.88,3.28,2.65,3.1,2.93,2.23,1.6,1.46,1.33,1.11,0.96,1.24,1.29,1.12,1.39,1.0
