,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.44,0.25,0.27,0.24,0.17,0.18,0.16,0.16,0.18,0.17,0.07,0.15,0.13,0.08,0.12
e_1,0.29,0.94,0.29,0.29,0.24,0.16,0.19,0.19,0.19,0.29,0.18,0.16,0.15,0.14,0.06,0.11
d_1,0.34,0.29,0.94,0.32,0.21,0.18,0.19,0.15,0.27,0.1,0.16,0.14,0.15,0.12,0.13,0.13
c_1,0.32,0.27,0.24,0.93,0.47,0.18,0.21,0.16,0.08,0.13,0.16,0.17,0.18,0.14,0.13,0.16
b_1,0.31,0.3,0.35,0.21,0.93,0.3,0.26,0.18,0.2,0.18,0.1,0.2,0.15,0.13,0.14,0.12
a_1,0.34,0.34,0.4,0.36,0.26,0.93,0.25,0.16,0.2,0.21,0.19,0.16,0.2,,0.15,0.2
h_1,0.73,0.53,0.55,0.5,0.39,0.33,0.72,0.34,0.31,0.31,0.29,0.31,0.25,0.27,0.24,0.32
g_1,0.48,0.5,0.83,0.52,0.44,0.43,0.38,0.73,0.41,0.33,0.3,0.44,0.29,0.24,0.3,0.18
c_0,0.8,0.65,0.52,0.27,0.44,0.39,0.42,0.29,0.62,0.41,0.6,0.33,0.33,0.26,0.24,0.28
d_0,0.71,0.46,0.39,0.92,0.43,0.4,0.4,0.39,0.31,0.61,0.33,0.34,0.34,0.3,0.26,0.27
b_0,0.73,0.57,0.7,0.59,0.31,0.27,0.48,0.39,0.32,0.46,0.62,0.34,0.44,0.42,0.3,0.34
f_0,0.56,0.56,0.82,0.56,0.53,0.38,0.43,0.3,0.36,0.39,0.45,0.62,0.34,0.28,0.41,0.26
h_0,0.9,0.64,0.79,0.58,0.54,0.33,0.21,0.43,0.38,0.38,0.3,0.39,0.23,0.25,0.26,0.36
a_0,0.71,0.73,0.73,0.7,0.46,,0.49,0.46,0.44,0.37,0.31,0.4,0.47,0.59,0.3,0.26
e_0,1.08,0.36,0.77,0.7,0.61,0.3,0.43,0.35,0.5,0.36,0.36,0.32,0.43,0.27,0.61,0.35
g_0,0.72,0.61,0.99,0.57,0.66,0.4,0.43,0.21,0.46,0.41,0.36,0.55,0.33,0.36,0.29,0.19
