,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.54,0.88,0.78,1.1,0.85,0.65,1.18,1.03,1.0,1.64,1.0,0.98,1.01,1.12,0.77,1.03
f_1,1.3,1.54,0.81,0.96,0.7,0.75,0.92,0.93,0.98,1.1,1.01,0.72,0.97,0.95,0.72,0.93
d_1,0.92,1.02,1.56,0.71,0.9,0.72,1.13,0.89,1.62,0.84,1.12,1.02,0.91,1.08,0.88,1.01
c_1,0.79,0.77,0.98,1.56,1.47,0.71,1.02,0.88,0.66,0.85,0.7,1.08,0.68,1.11,0.94,1.03
b_1,0.9,1.11,0.9,0.72,1.58,1.26,1.08,0.96,1.15,0.98,1.03,1.0,0.81,1.12,0.95,1.03
a_1,1.04,0.97,1.1,1.11,0.74,1.75,1.18,1.1,1.01,1.12,1.25,1.06,0.84,1.31,0.87,1.19
h_1,0.98,1.39,1.15,1.19,1.02,0.86,1.81,1.34,1.17,1.17,1.25,1.11,1.16,1.17,0.95,1.62
g_1,0.94,1.06,1.6,1.26,1.13,0.88,1.36,1.89,1.26,1.09,1.3,1.77,1.13,1.26,1.32,1.27
c_0,1.23,1.37,1.11,1.12,0.95,0.93,1.45,1.38,1.8,1.42,2.11,1.45,1.63,1.61,1.23,1.47
d_0,1.02,1.18,0.82,1.9,1.26,0.95,1.42,1.29,1.0,1.74,1.25,1.44,1.03,1.28,1.15,1.4
b_0,1.13,1.32,1.22,1.46,0.89,0.78,1.32,1.25,1.35,1.31,1.84,1.4,2.24,1.75,1.22,1.41
f_0,1.1,1.24,1.33,1.23,1.29,1.04,1.49,1.17,1.39,1.16,1.41,1.81,1.03,1.62,2.06,1.29
a_0,1.17,1.23,1.27,1.59,1.12,0.8,1.46,1.4,1.31,1.65,1.18,1.57,1.86,1.71,1.22,1.72
h_0,1.25,1.62,1.29,1.19,1.24,0.81,1.23,1.59,1.37,1.49,1.31,1.15,1.12,1.24,1.18,1.69
e_0,1.04,1.47,1.48,1.22,1.24,1.14,1.59,1.29,1.62,1.38,1.61,1.25,1.4,1.82,1.87,1.46
g_0,1.13,1.21,1.73,1.2,1.25,0.92,1.28,1.15,1.49,1.28,1.32,1.93,1.04,1.42,1.6,1.35
