,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.29,0.94,1.37,1.4,2.52,13.93,23.24,31.13,29.3,32.98,41.22,50.57,63.04,81.05,100.36
e_1,0.78,1.0,1.02,1.72,1.37,2.69,16.16,25.26,26.61,35.7,36.42,52.25,58.01,76.16,94.46,100.98
d_1,1.07,0.98,1.0,1.12,1.23,2.57,14.96,32.57,20.78,26.91,39.47,44.87,56.44,73.72,89.74,72.25
c_1,0.74,0.59,0.9,1.0,1.52,1.69,11.29,14.75,20.45,13.97,21.45,32.26,41.95,51.21,62.44,68.57
b_1,0.72,0.71,0.81,0.64,1.0,3.04,13.29,20.55,18.94,20.17,25.34,33.3,45.55,44.75,58.14,72.14
a_1,0.4,0.36,0.38,0.57,0.34,1.0,6.76,10.22,10.52,12.66,17.14,18.11,26.22,33.26,32.81,36.9
h_1,0.07,0.06,0.07,0.09,0.08,0.14,1.0,1.56,1.98,1.57,2.29,2.75,3.69,4.81,5.25,6.55
c_0,0.04,0.04,0.03,0.06,0.05,0.09,0.62,1.0,1.07,1.27,1.89,1.79,2.4,3.36,3.39,3.46
g_1,0.03,0.04,0.05,0.05,0.05,0.1,0.49,0.93,1.0,0.92,1.22,2.04,1.95,2.58,2.89,3.15
d_0,0.03,0.03,0.04,0.07,0.05,0.08,0.66,0.82,1.09,1.0,1.3,1.53,2.35,2.87,3.1,3.41
b_0,0.03,0.03,0.03,0.05,0.04,0.06,0.44,0.55,0.82,0.75,1.0,1.22,1.74,2.82,2.39,2.29
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.36,0.58,0.48,0.62,0.8,1.0,1.36,1.86,2.65,1.62
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.27,0.42,0.52,0.43,0.57,0.75,1.0,1.11,1.54,1.74
a_0,0.02,0.01,0.01,0.02,0.02,0.03,0.21,0.31,0.4,0.37,0.38,0.57,0.88,1.0,1.26,1.15
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.29,0.36,0.31,0.42,0.37,0.68,0.8,1.0,0.96
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.28,0.32,0.3,0.43,0.64,0.58,0.87,1.05,1.0
