,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.19,8.0,14.45,16.63,11.02,13.98,3.93,2.46,4.41,2.67,1.88,2.16,1.61,,2.47,2.14
f_1,12.76,0.18,16.06,16.01,14.24,13.64,2.47,2.34,4.93,2.31,2.33,,1.13,1.98,2.11,1.63
d_1,17.82,16.6,0.16,10.44,15.14,10.64,3.26,,2.09,2.01,2.67,2.8,1.48,2.8,2.26,1.05
c_1,12.28,12.31,14.27,0.15,13.09,13.69,2.81,1.16,3.85,,3.44,4.5,2.26,2.55,2.72,1.36
b_1,12.15,10.27,11.25,8.08,0.14,18.87,2.65,2.52,3.25,2.95,,2.82,2.77,3.01,,1.34
a_1,11.83,11.46,15.02,8.8,7.31,0.09,3.44,3.37,,3.11,3.91,1.92,2.16,,,
h_1,4.18,3.18,3.26,2.66,2.98,3.87,0.07,0.76,1.07,0.57,0.63,0.49,,0.55,0.61,0.58
d_0,1.33,2.7,,3.35,2.08,2.25,0.65,0.09,0.69,0.68,0.56,0.59,0.25,0.53,0.68,0.41
g_1,3.41,4.93,3.82,3.39,3.54,,0.71,0.64,0.05,0.74,0.67,0.46,0.33,0.79,0.69,
c_0,3.15,2.48,1.18,,4.79,1.71,0.78,0.63,0.78,0.08,0.54,0.47,0.3,0.51,,0.32
b_0,2.37,2.27,2.34,3.01,,3.31,0.65,0.56,0.78,0.29,0.07,0.51,0.43,0.53,0.38,0.49
f_0,2.64,,2.0,2.5,1.94,2.88,1.06,0.42,0.45,0.62,0.66,0.07,0.39,0.38,,0.26
h_0,1.58,1.5,1.71,1.7,1.13,1.8,,0.38,0.46,0.3,0.38,0.36,,0.32,0.36,0.21
e_0,,2.67,2.07,2.87,2.64,,0.68,0.77,0.59,0.51,0.47,0.3,0.36,0.04,,0.34
a_0,2.86,2.67,2.66,1.89,,,1.0,0.37,0.47,,0.21,,0.41,,0.04,
g_0,1.75,2.18,2.4,1.46,2.01,,0.38,0.45,,0.31,0.4,0.27,0.18,0.27,,
