,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,105.22,79.37,123.18,117.56,147.6,324.08,10941.36,26023.5,22426.38,27579.77,40823.82,46374.81,109789.91,145048.78,135398.39,210078.8
d_1,75.72,124.19,85.52,83.84,136.65,382.74,11585.97,19320.95,20148.2,42510.21,41995.84,53599.56,114310.76,147484.69,192995.39,214383.45
e_1,62.19,75.06,124.2,132.36,134.41,359.27,10665.06,34744.15,21314.0,26351.6,40939.01,65788.21,110634.49,134776.42,183582.44,236703.31
c_1,59.83,85.92,64.33,151.53,204.59,387.07,8899.35,16022.05,17826.79,18679.3,27770.58,45438.85,97177.46,123304.4,146240.73,221386.25
b_1,53.29,74.15,64.56,70.82,198.11,515.04,9286.97,17016.03,16963.3,23078.52,23140.75,45218.91,89659.24,91077.04,139412.16,203994.23
a_1,46.75,50.41,50.45,56.43,83.12,437.74,7362.52,13892.65,13902.58,15803.41,22808.38,33409.41,68885.99,72597.85,109584.68,126806.6
h_1,19.62,19.58,21.53,30.45,32.37,90.28,3589.46,5382.92,6250.34,5981.49,9344.59,13292.63,23492.41,30958.17,43216.78,73810.96
d_0,13.42,15.16,13.88,33.8,32.27,78.04,2270.89,5400.01,4072.85,3911.21,7675.84,11678.33,22173.33,27716.6,38251.56,47771.12
g_1,12.77,21.49,14.93,23.43,28.17,69.96,2189.86,3942.92,5986.94,5553.19,7690.31,13232.79,20600.43,31121.78,38495.13,47399.61
c_0,13.42,13.29,17.54,21.12,22.02,77.65,2267.17,5326.21,4221.91,6467.9,11869.55,12119.84,22098.29,30343.88,38862.12,45831.81
b_0,11.41,13.9,13.9,22.55,22.4,54.87,1993.92,3987.58,3860.37,4074.46,8240.59,9965.69,21762.2,40037.04,39293.92,43037.8
f_0,9.88,12.07,10.23,18.61,24.12,64.5,1834.17,3425.75,3218.22,4235.88,5811.61,10761.4,16770.28,21005.26,46892.35,33951.88
h_0,11.13,10.49,11.26,14.47,17.38,41.47,1263.11,2880.35,3285.0,3287.52,4783.95,6708.24,12730.0,17549.81,22964.05,36098.39
a_0,7.27,9.42,8.87,12.82,17.93,42.3,1480.96,2652.07,2324.74,3151.29,4026.7,6954.12,13834.21,21574.15,22232.13,30046.68
e_0,8.38,8.13,7.08,12.58,16.49,38.72,1281.31,2296.26,2441.84,2836.34,3751.15,4797.09,14067.99,16055.85,26882.75,23278.02
g_0,6.93,10.24,7.35,10.99,13.36,42.12,992.35,2239.87,1799.98,2904.69,4080.08,7055.42,9972.23,13910.74,22677.15,21776.36
