,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.6,0.56,0.61,0.61,0.52,0.26,0.27,0.26,0.34,0.25,0.3,0.19,0.25,0.23,0.24
e_1,0.46,0.41,0.57,0.67,0.62,0.57,0.35,0.36,0.26,0.33,0.3,0.36,0.23,0.27,0.33,0.28
d_1,0.65,0.65,0.38,0.56,0.57,0.48,0.29,0.34,0.31,0.23,0.26,0.25,0.22,0.27,0.24,0.16
c_1,0.58,0.53,0.68,0.38,0.62,0.57,0.3,0.18,0.27,0.28,0.22,0.26,0.22,0.25,0.26,0.23
b_1,0.63,0.6,0.63,0.4,0.37,0.72,0.36,0.26,0.34,0.34,0.37,0.29,0.25,0.25,0.26,0.26
a_1,0.69,0.57,0.65,0.54,0.39,0.3,0.37,0.28,0.3,0.36,0.3,0.26,0.22,0.34,0.25,0.21
h_1,0.62,0.52,0.58,0.59,0.53,0.45,0.23,0.24,0.26,0.32,0.25,0.23,0.23,0.24,0.24,0.21
d_0,0.55,0.39,0.6,0.72,0.63,0.54,0.33,0.23,0.26,0.33,0.25,0.31,0.23,0.26,0.3,0.26
c_0,0.64,0.64,0.38,0.68,0.55,0.56,0.32,0.32,0.22,0.32,0.31,0.24,0.25,0.29,0.25,0.21
g_1,0.57,0.55,0.65,0.65,0.56,0.48,0.25,0.24,0.26,0.21,0.26,0.27,0.18,0.23,0.23,0.24
b_0,0.61,0.52,0.48,0.71,0.61,0.55,0.31,0.28,0.18,0.28,0.21,0.22,0.22,0.27,0.22,0.19
f_0,0.63,0.5,0.55,0.58,0.57,0.53,0.32,0.25,0.28,0.22,0.28,0.19,0.21,0.27,0.31,0.17
h_0,0.61,0.53,0.56,0.59,0.52,0.54,0.35,0.24,0.24,0.31,0.26,0.26,0.24,0.22,0.22,0.24
a_0,0.6,0.59,0.48,0.57,0.66,0.57,0.28,0.23,0.21,0.31,0.18,0.22,0.26,0.19,0.2,0.21
e_0,0.65,0.56,0.51,0.57,0.57,0.57,0.3,0.23,0.25,0.3,0.27,0.14,0.24,0.26,0.18,0.18
g_0,0.61,0.55,0.56,0.59,0.5,0.5,0.27,0.26,0.25,0.31,0.28,0.25,0.18,0.26,0.23,0.21
