,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.15,39.57,64.56,84.05,99.11,120.13,19.61,13.34,14.8,10.89,28.0,24.16,12.41,21.39,,15.33
f_1,69.59,1.15,76.3,81.84,71.15,76.88,14.36,19.64,12.14,15.52,24.0,,9.02,18.33,12.13,14.64
c_1,88.57,80.79,1.15,239.23,86.72,106.78,22.97,8.73,,18.96,29.65,19.96,9.45,18.33,22.75,10.39
d_1,114.62,110.8,90.73,1.15,79.29,120.13,24.36,,15.56,20.48,16.8,24.16,11.03,16.74,19.16,9.47
b_1,84.72,114.06,55.95,100.32,1.15,147.85,34.96,25.25,24.28,,33.6,30.6,23.35,21.39,21.41,11.93
a_1,177.14,149.15,176.68,129.58,84.09,1.15,44.67,41.59,55.18,,38.77,27.0,15.88,,28.0,26.83
h_1,108.25,114.06,78.07,84.05,86.72,96.1,2.0,20.79,19.58,18.96,21.91,21.86,,22.65,17.33,12.38
d_0,48.71,90.19,98.74,,63.07,66.28,23.65,2.96,17.85,17.66,25.2,13.5,12.81,15.4,,14.0
c_0,139.18,104.81,,66.17,126.14,87.36,32.16,18.13,2.99,18.96,25.2,16.39,10.73,21.39,15.17,10.73
b_0,108.25,161.58,223.8,84.05,,,38.29,22.81,16.41,2.89,26.53,19.12,14.18,20.26,,21.47
g_1,185.57,184.67,167.85,155.5,252.27,160.17,38.29,29.46,35.71,32.0,2.0,25.5,16.54,,26.0,
f_0,134.38,,152.59,124.4,132.14,113.06,29.78,33.67,26.39,30.12,26.53,2.96,20.89,21.39,21.41,11.1
h_0,97.42,114.06,104.91,86.39,126.14,66.28,,21.42,17.85,20.48,29.65,15.83,,24.06,15.17,12.38
a_0,139.18,133.72,258.23,172.78,198.21,,50.25,35.35,27.59,19.69,,28.69,22.06,2.96,30.33,23.0
e_0,,176.27,124.33,135.22,213.46,137.29,40.2,,33.72,,45.82,19.12,24.81,32.08,2.94,26.83
g_0,185.57,129.27,111.9,107.24,120.65,174.73,25.12,22.81,27.59,24.38,,27.0,14.18,25.67,33.09,
