,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,9732.71,5350.78,9050.57,6633.39,8198.42,37234.8,7331434.85,14233837.1,17934230.0,16092508.53,51964538.69,33531311.67,152124757.88,233015186.72,235725169.93,405397949.05
c_1,3634.13,15256.19,5252.28,13957.62,8226.55,36977.21,6681628.55,14742188.42,8548786.3,15815239.09,28690960.46,60209169.27,125794904.26,220748363.28,266800443.06,407711174.38
e_1,4199.17,6761.87,17028.07,7679.48,6491.73,34007.38,8573392.65,26789856.93,18202325.73,14880836.47,50703130.62,64373555.75,155120948.28,243559207.14,152973646.54,430471519.06
b_1,3685.86,5178.34,5324.83,23704.57,8483.82,76409.11,8240361.17,13027233.09,16957904.74,16014598.39,30108881.73,63474686.54,112272151.29,208072160.6,333679493.42,378610601.18
d_1,3526.38,3722.24,6020.36,7117.64,27238.92,44831.92,7745677.24,10012607.5,35449757.42,16203153.55,65770528.82,85568163.17,175989173.66,246967288.73,339135602.91,483467225.07
a_1,3989.26,5347.25,6263.26,6915.19,9742.6,187041.86,8160674.64,13111381.63,17665509.61,15082330.96,51188269.28,72636942.6,89168757.25,220133180.14,316111867.94,446714897.61
h_1,5173.15,6944.67,5987.05,7878.1,9779.41,39019.43,18354815.74,15308788.34,18729873.3,22530363.27,51362210.01,66066668.26,163679372.74,190893363.39,279678092.24,601145633.7
d_0,4357.71,10285.88,5792.03,9569.47,5958.62,32279.47,8471944.46,24226278.29,13571829.6,15592277.27,40615427.25,70219564.07,155655310.83,294110015.69,367247277.73,436764897.2
c_0,4257.13,4677.56,6649.28,6432.2,10558.23,45198.49,9367756.19,16580556.0,37828261.35,17436851.53,107947695.6,86867319.34,253892861.19,297520747.36,394926571.3,492941802.55
g_1,3886.54,5799.67,5811.85,7654.65,15567.24,35501.16,6916738.37,13114197.26,22405829.74,43783126.39,51522216.89,102604276.4,173312435.09,267346438.26,314887703.64,352103914.82
b_0,4862.06,6426.06,6173.19,5415.78,10203.51,35576.73,9306089.17,18037707.36,23847053.53,18182513.45,99575778.78,72759043.68,403528891.6,280854603.61,349239677.05,528464554.79
f_0,3930.25,6674.23,5517.35,8934.07,9501.21,48733.78,9463005.46,18694750.99,24668178.88,16257848.98,55492367.1,140712802.57,197892876.62,276476181.32,651281912.81,493732992.56
a_0,5095.55,6700.28,7096.65,7865.76,8984.41,33293.0,9251611.53,18634374.52,18652886.15,19506431.05,60641387.89,73236351.33,386860097.81,325275751.58,367426219.08,453329804.16
h_0,5863.7,6036.21,5667.88,8490.0,9922.94,42857.94,5669336.39,16648832.6,17955789.15,23085356.11,54399050.19,67124426.22,187776961.21,193035811.95,371204380.71,586031869.73
e_0,5069.27,5706.46,3958.46,8754.85,10889.01,46202.86,10139843.42,12970478.78,21688119.1,17712432.99,54705312.43,74619054.36,196006899.58,290927105.99,763645935.13,583773530.02
g_0,3623.05,5523.72,5021.43,8147.76,14602.97,49915.39,9636679.1,15959796.39,23604299.1,12241161.52,59051163.6,116378389.89,175467254.41,291734796.92,470159800.01,418697403.63
