,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,109.21,32.23,40.48,56.78,66.43,199.13,5988.27,15081.17,7448.44,10028.72,19303.99,28035.76,51201.21,51587.83,60404.25,83920.88
f_1,63.51,122.34,39.25,32.33,50.61,164.11,4190.47,7535.36,7797.44,12633.2,7994.17,15968.63,47268.83,46244.29,75978.49,75067.59
d_1,27.8,42.75,137.03,37.6,64.14,161.48,4747.15,3775.84,7713.91,17396.65,16511.59,20339.06,45422.18,63031.76,53856.39,71719.01
c_1,23.26,36.52,43.06,136.8,111.6,178.36,4640.06,6970.06,6425.19,3815.33,17276.9,16572.1,55611.69,56172.11,55164.7,90455.46
b_1,26.81,32.89,37.16,30.41,193.68,260.6,4074.38,6993.42,5871.14,8497.15,14460.67,11412.55,43465.57,55379.97,44683.74,74250.07
a_1,18.07,26.37,28.66,25.49,27.88,458.76,2618.12,5720.08,4855.28,5157.07,8465.88,14164.13,36341.23,43120.5,19173.65,48443.6
h_1,7.72,15.85,14.42,15.69,20.65,55.55,3160.43,2639.87,3350.16,3276.26,5026.94,6561.9,10094.75,20675.06,21259.46,35832.65
d_0,7.56,9.8,7.66,21.01,18.26,44.4,1465.93,3794.73,2600.88,2681.66,5281.36,6956.11,11728.57,20029.15,22488.26,23871.43
g_1,8.35,9.75,15.3,13.24,18.32,45.34,1123.78,1698.42,4825.59,2769.65,6700.89,5199.35,12417.36,18176.21,18544.8,13155.99
c_0,9.98,10.57,11.32,8.36,13.66,49.03,1434.47,2441.31,2094.19,4897.02,5091.94,8802.09,12833.03,15604.23,17784.24,26294.58
f_0,6.45,4.98,10.44,11.16,15.52,48.78,1145.25,2078.03,1906.61,2131.18,6789.7,5567.25,11590.51,25499.34,18798.26,18020.23
b_0,5.63,11.62,9.0,10.64,6.9,25.52,1088.62,1899.18,1926.83,2044.91,3328.12,8205.48,10728.14,15949.59,25655.64,20061.11
h_0,5.06,8.2,7.6,7.24,10.03,28.02,637.96,1573.28,1702.05,1893.39,3073.31,3597.47,4824.52,9755.31,10630.31,16005.72
e_0,2.81,7.73,6.33,7.27,9.77,25.55,808.09,1362.51,1400.91,1699.81,1879.62,2957.9,10592.11,19576.45,13414.22,15937.94
a_0,5.48,5.23,6.68,7.49,9.87,14.78,842.17,1180.56,1365.92,1775.59,2276.5,2647.46,7201.63,6594.45,19147.52,12052.15
g_0,3.63,4.86,9.28,5.29,8.66,22.43,609.1,1116.01,971.95,1597.75,3321.89,2878.58,7046.89,8974.57,10915.68,8343.02
