,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.02,1.36,1.55,1.68,2.47,14.6,24.39,29.78,37.0,45.44,45.61,72.34,91.28,96.31,102.13
d_1,0.98,1.0,1.0,1.18,1.54,2.37,16.87,22.36,36.6,38.19,43.81,48.82,68.34,98.64,86.76,96.94
e_1,0.74,1.01,1.0,1.45,1.55,2.25,16.23,31.05,29.76,46.62,44.57,50.67,74.42,82.78,100.88,85.44
c_1,0.64,0.84,0.69,1.0,1.55,2.14,11.71,19.04,18.75,17.78,25.3,33.34,48.63,59.18,66.85,76.76
b_1,0.6,0.65,0.64,0.65,1.0,2.44,10.72,17.42,17.28,21.43,29.77,26.98,47.62,54.44,61.26,70.1
a_1,0.41,0.42,0.44,0.47,0.4,1.0,6.57,11.57,10.3,12.6,23.43,16.31,27.45,42.68,37.12,29.18
h_1,0.07,0.06,0.06,0.08,0.09,0.15,1.0,1.78,1.74,2.02,2.77,2.67,4.1,5.34,6.24,5.77
g_1,0.04,0.05,0.03,0.05,0.06,0.09,0.56,1.0,0.98,0.97,1.56,1.92,2.61,3.53,3.3,3.71
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.6,1.0,1.0,1.3,2.16,1.78,2.52,3.39,2.97,3.76
d_0,0.03,0.03,0.02,0.06,0.05,0.08,0.51,1.08,0.72,1.0,1.36,1.38,2.19,2.47,2.86,3.37
b_0,0.02,0.02,0.02,0.04,0.03,0.05,0.37,0.58,0.44,0.75,1.0,0.98,1.77,3.13,2.21,2.28
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.38,0.52,0.57,0.73,0.95,1.0,1.57,1.71,1.78,3.11
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.39,0.4,0.48,0.59,0.64,1.0,1.17,1.59,1.35
a_0,0.01,0.01,0.01,0.02,0.02,0.02,0.18,0.28,0.3,0.42,0.32,0.54,0.86,1.0,1.08,1.16
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.29,0.33,0.37,0.44,0.57,0.64,0.92,1.0,1.0
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.27,0.26,0.29,0.46,0.33,0.74,0.89,0.95,1.0
