,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.02,0.85,0.59,0.99,0.69,0.68,0.98,0.94,1.62,0.84,1.04,1.02,1.05,0.98,0.76,1.0
f_1,1.33,2.1,0.66,0.66,0.61,0.61,0.88,0.85,1.08,1.0,0.97,0.61,0.96,1.0,0.6,0.96
d_1,0.69,0.85,2.27,0.6,0.73,0.69,0.94,1.01,0.57,1.73,1.18,0.87,1.09,0.97,1.13,0.97
c_1,0.58,0.71,0.85,2.2,1.41,0.69,0.96,0.87,0.85,0.55,0.62,0.93,0.82,0.98,0.87,0.92
b_1,0.71,0.73,0.84,0.73,2.44,1.48,0.82,0.83,0.81,0.86,0.64,1.02,0.88,0.7,0.9,0.91
a_1,0.75,0.74,0.84,0.84,0.72,3.39,1.11,0.96,0.91,0.8,0.94,1.08,1.08,0.62,1.1,0.95
h_1,0.74,1.1,0.92,0.81,0.82,0.81,2.17,1.39,0.94,1.04,1.13,1.01,0.77,0.99,1.06,1.2
g_1,0.69,0.76,1.26,0.82,0.71,0.76,0.84,2.37,0.8,1.03,0.99,1.77,1.04,1.05,1.59,0.99
d_0,0.8,0.79,0.57,1.59,0.73,0.7,1.08,1.02,1.53,0.68,1.23,1.16,1.05,1.1,1.07,1.1
c_0,0.96,0.88,0.91,0.69,0.6,0.71,1.13,1.08,1.05,1.75,2.02,1.13,1.23,1.31,1.34,1.25
b_0,0.83,0.96,1.0,0.91,0.47,0.5,1.12,1.23,0.97,1.11,1.96,1.29,1.23,2.2,1.22,1.37
f_0,0.78,0.68,0.99,0.93,0.81,0.71,1.1,1.11,1.0,1.01,1.09,1.94,1.31,1.22,2.44,1.3
h_0,0.86,1.2,0.8,0.8,0.73,0.75,0.83,1.36,0.86,1.01,1.14,1.12,0.85,1.27,1.11,1.45
a_0,0.91,0.89,0.89,0.93,0.81,0.52,1.16,1.1,1.04,0.99,1.11,1.13,1.12,2.31,1.19,1.13
e_0,0.59,0.93,0.95,0.99,0.74,0.87,1.3,1.11,0.99,1.14,1.43,1.08,1.1,1.28,2.54,1.1
g_0,0.77,0.71,1.23,0.84,0.71,0.9,1.12,0.85,0.9,1.04,1.23,1.58,1.21,1.11,1.32,0.61
