,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.72,2.77,1.39,1.61,1.21,1.33,5.55,3.85,5.98,7.01,7.41,2.65,9.54,6.87,6.28,10.18
e_1,1.62,5.89,1.37,1.95,1.43,1.44,5.39,5.09,5.91,13.65,7.42,7.74,11.61,7.47,4.34,10.18
d_1,1.49,1.32,6.44,1.06,1.55,1.28,5.67,7.51,13.19,3.29,8.12,8.68,11.55,8.58,8.49,13.74
c_1,1.52,1.22,1.45,6.82,2.99,1.3,5.47,5.46,2.78,7.19,5.52,6.44,10.09,7.94,8.13,9.62
b_1,1.47,1.5,1.35,1.51,7.5,3.48,4.83,5.32,6.06,6.49,3.67,6.99,8.51,5.64,6.98,9.71
a_1,1.9,1.42,1.57,1.81,1.19,10.89,5.96,5.35,7.62,8.6,7.88,7.78,13.34,3.97,8.38,7.42
h_1,2.77,1.66,2.12,1.45,1.65,1.92,16.53,7.85,8.59,8.42,7.7,7.42,8.43,7.93,8.47,18.15
g_1,1.58,1.49,3.03,1.69,1.88,1.7,6.26,20.65,8.3,6.75,9.47,14.75,14.94,9.71,8.84,10.3
c_0,2.07,1.89,2.0,1.05,1.51,1.8,6.59,6.75,17.51,8.67,18.26,9.59,13.76,11.61,9.84,16.46
d_0,2.0,1.66,0.91,3.73,1.68,1.83,6.24,6.92,5.31,15.5,8.63,8.17,16.0,10.35,11.54,14.14
b_0,2.25,1.49,2.09,2.08,1.18,1.47,7.51,6.12,10.5,8.32,18.73,9.6,14.58,21.43,11.88,15.95
f_0,1.45,1.4,2.01,1.69,2.0,2.26,8.19,7.03,10.51,9.02,10.56,21.9,16.9,10.63,22.25,16.16
h_0,2.62,1.67,1.98,2.19,1.67,1.28,4.25,9.64,8.4,7.86,8.79,9.19,7.71,9.92,12.1,18.28
a_0,1.9,1.81,1.78,2.11,1.98,1.08,8.21,6.68,8.82,9.36,9.16,10.17,16.25,23.62,11.1,16.76
e_0,2.61,1.2,1.71,2.1,1.36,1.93,8.29,7.72,10.29,9.05,10.24,9.33,15.18,10.19,28.35,13.26
g_0,1.28,1.78,3.07,1.75,1.84,2.02,6.22,5.72,9.39,6.56,8.33,15.18,11.3,8.07,9.88,10.64
