,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.44,4.6,4.62,4.11,3.69,3.81,0.94,0.83,1.87,0.65,3.18,0.8,0.77,0.49,0.88,0.74
e_1,2.3,0.44,3.29,5.99,5.6,4.92,1.22,0.92,1.27,1.0,1.0,0.99,0.7,0.69,2.14,0.7
d_1,4.53,5.31,0.42,5.33,4.28,4.8,1.14,4.4,0.72,1.07,0.8,0.7,0.77,0.51,0.89,0.35
c_1,4.62,4.35,5.88,0.42,4.67,4.33,1.26,0.45,1.5,4.79,0.77,0.93,1.11,0.56,0.84,0.65
b_1,5.96,4.33,6.64,2.45,0.4,4.58,1.36,1.19,1.49,1.15,1.22,4.47,1.13,0.78,0.85,0.88
a_1,7.2,5.74,5.35,6.45,3.06,0.32,2.26,1.68,1.48,1.57,1.38,2.19,,0.92,1.03,0.96
h_1,5.49,4.81,4.89,4.67,5.05,4.56,0.36,0.94,1.35,0.8,0.91,0.94,0.86,2.21,0.9,0.74
d_0,6.3,2.81,14.47,5.35,7.4,5.44,1.73,0.46,1.84,1.42,1.1,1.24,1.31,0.93,1.14,1.1
g_1,5.61,5.6,6.0,7.01,5.49,6.27,1.35,1.33,0.31,0.88,0.96,1.38,0.97,0.65,1.16,2.02
c_0,5.67,5.31,2.93,23.49,7.22,6.28,1.59,1.3,2.0,0.43,1.07,1.07,1.33,0.91,1.22,0.94
f_0,22.14,5.22,5.53,6.14,5.31,5.9,1.87,1.19,1.42,1.01,0.41,1.22,0.9,0.85,1.13,0.54
b_0,6.73,5.51,4.69,7.44,25.85,4.8,1.79,1.4,1.44,0.61,1.04,0.4,1.25,1.08,1.36,0.97
a_0,11.36,6.65,7.31,7.29,8.06,,2.22,1.57,2.21,1.02,1.17,0.66,0.39,1.07,1.41,0.99
h_0,6.73,6.53,7.41,7.01,7.86,8.36,5.94,1.39,1.86,1.26,1.18,1.28,1.52,2.94,1.45,1.01
e_0,10.23,20.91,5.66,6.12,6.55,6.87,2.43,1.09,2.02,1.38,0.61,1.46,1.22,0.92,0.36,0.79
g_0,7.36,8.36,7.62,6.45,10.0,8.92,1.82,1.62,4.8,1.76,1.67,1.58,1.4,0.92,1.88,
