,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.4,0.66,0.52,0.65,0.55,0.57,0.26,0.31,0.25,0.3,0.25,0.28,0.24,0.18,0.23,0.25
e_1,0.43,0.4,0.58,0.64,0.68,0.57,0.34,0.36,0.27,0.32,0.28,0.32,0.29,0.23,0.4,0.24
d_1,0.63,0.68,0.39,0.58,0.56,0.54,0.28,0.25,0.28,0.32,0.27,0.25,0.25,0.21,0.25,0.16
c_1,0.6,0.52,0.67,0.39,0.66,0.52,0.32,0.29,0.32,0.19,0.25,0.25,0.26,0.23,0.24,0.23
b_1,0.66,0.56,0.64,0.41,0.37,0.72,0.35,0.36,0.37,0.26,0.35,0.26,0.24,0.28,0.3,0.25
a_1,0.61,0.61,0.6,0.62,0.39,0.31,0.39,0.37,0.29,0.32,0.35,0.29,0.36,0.21,0.27,0.24
h_1,0.62,0.54,0.56,0.58,0.57,0.46,0.22,0.35,0.24,0.24,0.26,0.24,0.23,0.23,0.24,0.22
g_1,0.61,0.57,0.58,0.67,0.54,0.49,0.24,0.21,0.24,0.24,0.24,0.25,0.24,0.17,0.25,0.22
c_0,0.62,0.62,0.42,0.74,0.5,0.49,0.31,0.34,0.22,0.35,0.3,0.25,0.27,0.23,0.28,0.21
d_0,0.54,0.4,0.66,0.7,0.61,0.53,0.31,0.38,0.24,0.22,0.27,0.26,0.27,0.24,0.27,0.27
b_0,0.56,0.54,0.5,0.72,0.64,0.48,0.29,0.31,0.18,0.27,0.2,0.25,0.29,0.22,0.25,0.19
f_0,0.65,0.53,0.54,0.64,0.54,0.49,0.32,0.24,0.25,0.28,0.24,0.2,0.25,0.23,0.32,0.17
a_0,0.58,0.52,0.54,0.61,0.7,0.57,0.33,0.28,0.22,0.25,0.17,0.24,0.19,0.24,0.24,0.21
h_0,0.63,0.55,0.56,0.59,0.49,0.5,0.34,0.33,0.25,0.26,0.23,0.23,0.22,0.25,0.25,0.24
e_0,0.75,0.59,0.55,0.59,0.51,0.48,0.32,0.27,0.25,0.29,0.26,0.16,0.23,0.19,0.18,0.2
g_0,0.57,0.54,0.61,0.56,0.52,0.47,0.24,0.36,0.24,0.25,0.26,0.28,0.27,0.17,0.25,0.23
