,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.52,0.86,0.84,1.08,0.86,0.72,1.09,0.97,1.6,0.93,1.0,1.07,1.13,1.04,0.89,0.84
f_1,1.38,1.53,0.82,0.93,0.75,0.61,0.97,0.93,1.11,0.96,0.99,0.73,0.9,0.99,0.84,0.65
d_1,0.91,1.03,1.57,0.72,0.88,0.74,1.09,0.96,0.92,1.61,1.19,1.13,1.22,0.91,0.91,0.86
c_1,0.83,0.9,0.99,1.57,1.31,0.77,0.99,0.95,0.9,0.77,0.74,0.88,1.11,1.05,0.84,0.8
b_1,0.93,0.99,0.91,0.82,1.61,1.19,1.03,0.91,1.02,1.17,0.83,0.94,1.23,1.08,0.77,1.0
a_1,0.97,1.13,0.94,1.03,0.84,1.76,1.29,1.19,1.19,0.91,1.1,1.03,1.34,1.25,0.8,0.93
h_1,1.12,1.37,1.12,1.15,1.01,0.84,1.81,1.43,1.24,1.2,1.26,1.44,1.18,1.64,1.16,1.15
g_1,1.1,1.12,1.56,1.1,1.06,0.92,1.23,1.88,1.05,1.36,1.29,1.76,1.39,1.23,1.23,1.32
d_0,1.0,1.28,0.97,1.79,1.1,0.89,1.33,1.25,1.73,1.03,1.24,1.26,1.53,1.36,1.13,1.24
c_0,1.29,1.29,1.1,1.15,0.92,0.96,1.52,1.25,1.56,1.77,2.26,1.41,1.5,1.52,1.32,1.15
b_0,1.18,1.33,1.25,1.44,1.11,0.9,1.46,1.29,1.38,1.13,1.8,1.3,1.61,1.55,2.03,1.18
f_0,1.01,1.14,1.31,1.32,1.15,1.17,1.28,1.22,1.47,1.45,1.46,1.86,1.71,1.51,1.31,1.99
h_0,1.2,1.73,1.22,1.19,1.06,0.89,1.32,1.55,1.37,1.37,1.22,1.24,1.38,1.64,1.12,1.08
g_0,1.13,1.31,1.86,1.28,1.09,0.9,1.36,1.21,1.32,1.33,1.36,1.81,1.52,1.26,1.12,1.14
a_0,1.34,1.42,1.17,1.44,1.26,0.96,1.49,1.19,1.53,1.5,1.24,1.38,1.78,1.48,1.85,1.21
e_0,1.0,1.45,1.39,1.46,1.11,1.17,1.63,1.3,1.48,1.42,1.46,1.37,1.72,1.63,1.28,1.87
