,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,3.44,3.08,2.96,3.06,3.43,1.02,0.91,1.04,0.84,0.81,1.64,0.53,0.83,0.78,0.72
e_1,2.2,1.07,3.4,4.09,3.39,2.48,1.31,1.04,1.17,1.28,0.92,1.27,0.79,0.98,0.77,1.67
d_1,3.91,4.07,1.06,3.07,2.93,2.68,1.23,1.18,0.9,2.18,1.22,0.92,0.76,0.67,0.54,0.84
c_1,3.97,3.13,3.67,1.07,3.43,2.73,1.53,1.61,1.14,0.69,0.95,0.87,0.76,0.85,0.89,0.82
b_1,4.55,4.35,3.81,2.6,1.07,4.48,1.65,1.43,1.41,1.25,2.74,1.11,1.17,1.14,0.8,0.88
a_1,4.8,7.81,6.86,5.43,3.14,1.07,1.84,2.0,2.44,2.19,1.73,1.52,1.35,3.03,1.29,1.32
h_1,8.36,6.67,6.65,6.35,6.58,5.8,1.38,1.93,3.3,1.87,2.52,1.88,3.57,1.87,1.7,1.84
c_0,10.23,7.89,5.12,18.2,8.27,6.67,3.73,1.62,3.72,3.41,3.02,2.34,2.02,2.51,1.86,1.86
g_1,9.67,8.75,10.47,10.18,8.73,6.01,2.56,1.97,1.38,2.24,2.19,2.46,1.47,2.47,2.43,2.46
d_0,11.2,5.33,15.85,11.06,8.6,6.62,3.85,2.3,4.4,1.63,2.82,2.39,1.99,2.27,2.13,2.09
b_0,9.88,9.95,10.45,13.04,18.04,7.52,3.27,1.69,3.83,2.72,1.59,2.77,2.3,4.22,2.43,2.77
f_0,20.25,8.82,10.62,10.83,9.56,8.98,4.09,2.72,2.7,3.0,2.32,1.59,2.3,2.9,1.43,2.63
h_0,13.48,10.56,12.64,11.72,11.27,9.39,6.9,3.47,5.83,3.96,3.53,3.46,4.26,2.77,2.84,2.81
a_0,14.31,10.96,15.37,15.23,11.71,,5.57,3.71,4.8,3.45,1.91,3.1,3.57,1.7,3.08,4.26
g_0,12.88,12.93,15.45,12.63,15.64,11.45,3.87,4.46,9.67,3.43,3.6,4.72,2.75,3.39,4.49,3.55
e_0,21.07,17.23,12.43,15.77,15.88,12.16,5.34,4.12,4.65,3.78,3.92,2.34,3.85,3.24,3.05,1.71
