,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,106.75,51.05,43.68,53.1,83.82,146.97,4499.43,9451.04,11802.02,10613.03,19923.93,16787.96,39693.88,50797.89,136620.65,72834.34
e_1,32.79,107.7,35.86,43.61,76.05,154.12,6035.15,9731.65,21874.3,14220.11,23688.58,37803.33,49265.3,58458.04,119991.44,62028.64
d_1,30.96,30.5,122.91,41.21,68.7,184.04,5446.95,8005.15,5815.4,20098.35,22491.07,30285.21,41131.72,70361.91,99473.1,124250.54
c_1,30.04,34.7,35.87,142.15,111.86,145.72,4282.83,8157.11,8760.88,4448.36,15269.4,26281.06,44119.91,52197.3,106496.1,78198.62
b_1,22.32,25.31,31.88,31.41,211.64,237.2,4668.87,7287.9,10072.96,8432.29,6792.47,28667.21,30241.32,45732.4,91295.7,78758.45
a_1,21.87,21.74,24.8,26.33,35.98,420.28,4164.53,6770.68,6980.55,8136.87,10553.61,14246.0,15573.26,35786.82,65614.06,56571.69
h_1,14.14,8.93,11.77,14.98,19.55,43.44,3354.72,3541.84,4203.15,4180.11,5120.81,9260.52,11434.84,11861.91,47201.2,33284.28
g_1,7.48,7.72,15.92,13.05,15.86,35.01,1223.88,5347.07,2114.78,2777.88,4331.23,8872.93,8526.16,11589.45,22892.76,24252.8
d_0,8.65,6.27,5.93,20.96,18.36,42.8,1387.73,2568.65,4961.56,2983.65,4601.88,7472.31,11846.79,14588.46,28032.02,24444.46
c_0,10.47,7.77,8.72,9.27,16.85,39.05,1244.79,2977.47,2989.38,5233.6,9434.68,8459.16,13635.1,14917.19,29145.88,24463.32
b_0,8.29,6.32,7.58,12.03,11.44,34.18,1306.01,1996.7,2882.69,1876.92,7221.7,5687.99,18375.8,14802.96,30377.4,24460.79
f_0,4.69,4.69,8.03,9.71,12.64,38.61,1171.44,1602.14,2535.21,2375.23,3822.57,10132.24,8675.74,10258.29,23383.2,41211.71
a_0,7.12,5.37,6.76,8.77,11.96,,908.97,1882.66,1995.25,1770.39,2936.85,4913.44,14819.57,9331.82,20006.13,12987.32
h_0,7.96,4.71,5.45,8.16,10.82,22.26,428.15,1982.7,1616.02,1897.86,2786.05,5090.06,7641.28,6579.58,25253.47,15974.06
g_0,3.34,3.9,6.82,5.8,8.65,22.15,597.54,701.46,1680.0,1517.25,2064.08,5079.26,6098.4,5634.81,9548.8,13530.36
e_0,5.63,2.53,4.41,7.15,8.86,19.77,602.2,937.42,1673.3,1804.2,2630.29,2275.73,6373.03,7117.2,15812.6,27977.98
