,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.44,2.65,2.14,1.87,1.86,1.75,0.58,0.34,0.37,1.22,0.37,0.34,0.24,0.37,0.35,0.17
e_1,2.19,0.43,1.15,2.19,2.35,1.87,0.75,0.71,0.41,0.43,0.41,0.55,0.32,0.43,1.15,0.38
f_1,1.78,1.89,0.43,2.16,2.08,1.86,0.44,1.08,0.41,0.4,0.38,1.05,0.2,0.39,0.4,0.33
c_1,2.61,1.81,2.1,0.4,2.44,2.25,0.63,0.51,0.82,0.24,0.51,0.47,0.29,0.43,0.38,0.34
b_1,2.56,2.19,2.53,1.3,0.38,3.22,0.65,0.69,0.56,0.48,1.54,0.46,0.31,0.52,0.58,0.42
a_1,3.42,2.48,3.66,2.95,1.35,0.32,0.76,0.84,0.59,0.65,0.77,0.46,0.69,1.42,0.54,0.42
h_1,2.76,3.51,4.22,3.16,2.9,3.17,0.34,1.08,0.77,0.69,0.66,0.56,1.02,0.58,0.51,0.51
g_1,3.3,3.84,4.52,4.08,3.67,3.23,0.77,0.31,0.78,0.7,0.82,0.61,0.42,0.75,0.85,0.81
c_0,1.9,4.11,3.79,8.96,4.27,3.86,1.16,1.0,0.4,1.08,0.7,0.68,0.51,0.63,0.82,0.53
d_0,7.86,1.94,4.15,4.26,4.57,3.63,1.1,1.58,0.84,0.39,0.82,0.83,0.61,0.74,0.84,0.67
b_0,2.85,3.69,3.91,5.93,7.37,3.72,1.1,1.21,0.39,1.01,0.36,0.79,0.83,0.76,0.79,0.6
f_0,3.63,3.47,8.42,3.8,4.48,3.7,1.13,0.75,0.83,0.87,0.98,0.36,0.73,0.77,0.78,0.4
h_0,4.34,4.11,4.22,4.82,6.01,3.38,2.17,1.36,0.85,0.94,0.87,0.78,1.47,0.74,0.82,0.69
a_0,3.83,4.01,5.7,5.88,6.59,7.24,1.65,1.23,0.81,1.01,0.46,0.95,0.63,0.35,0.9,0.59
e_0,3.91,12.2,6.25,6.6,3.71,3.79,1.15,1.08,0.9,0.8,1.15,0.44,0.86,0.95,0.32,0.64
g_0,4.01,4.81,7.34,5.15,4.63,4.1,1.05,2.1,1.02,1.0,0.85,1.13,0.53,1.0,0.98,0.97
