,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.18,0.95,1.73,1.7,1.76,1.95,0.53,0.42,0.55,0.28,0.36,0.35,0.39,0.27,0.26,1.79
f_1,1.6,0.18,1.5,1.59,1.91,1.79,0.36,0.35,0.51,0.33,0.28,1.35,0.34,0.16,0.3,0.22
d_1,2.43,1.75,0.16,1.51,1.5,1.61,0.42,1.58,0.28,0.36,0.32,0.31,0.32,0.23,0.15,0.29
c_1,1.67,1.61,2.12,0.15,1.79,1.55,0.5,0.17,0.49,1.3,0.35,0.31,0.31,0.26,0.23,0.28
b_1,2.13,1.69,1.79,0.9,0.12,1.91,0.45,0.29,0.6,0.32,3.76,0.4,0.39,0.38,0.27,0.34
a_1,1.47,2.13,1.58,2.24,0.89,0.09,0.53,0.35,0.51,0.31,0.5,0.33,2.1,0.19,0.31,0.35
h_1,1.0,0.84,0.89,1.04,0.85,0.86,0.07,0.22,0.3,0.22,0.2,0.2,0.17,0.27,0.13,0.2
d_0,0.42,1.13,2.54,1.02,1.29,0.95,0.39,0.08,0.3,0.17,0.19,0.18,0.17,0.12,0.14,0.19
g_1,0.94,1.01,0.96,0.85,0.91,0.93,0.21,0.2,0.05,0.23,0.2,0.21,0.25,0.11,0.5,0.2
c_0,0.86,0.78,0.48,4.17,1.46,0.8,0.3,0.25,0.29,0.07,0.2,0.22,0.21,0.18,0.15,0.18
b_0,0.64,1.26,0.94,1.02,,0.91,0.26,0.21,0.28,0.1,0.06,0.16,0.17,0.15,0.11,0.2
f_0,0.8,3.98,0.75,1.02,0.75,0.81,0.25,0.21,0.15,0.17,0.18,0.06,0.2,0.14,0.09,0.21
a_0,0.72,1.07,0.75,1.09,1.03,,0.25,0.25,0.33,0.24,0.1,0.16,0.05,0.15,0.13,0.2
h_0,0.71,0.99,0.92,1.11,0.96,0.71,0.66,0.21,0.35,0.19,0.21,0.18,0.18,0.33,0.15,0.2
g_0,0.9,1.09,0.86,1.4,1.05,0.54,0.21,0.21,,0.15,0.17,0.16,0.18,0.09,0.29,0.14
e_0,1.91,1.45,0.78,0.85,0.74,0.79,0.22,0.18,0.2,0.23,0.16,0.09,0.15,0.16,0.13,0.04
