,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.99,0.63,0.64,0.52,0.51,0.5,2.41,5.55,3.49,2.17,3.11,2.73,3.48,3.04,0.78,3.95
f_1,1.04,6.22,0.63,0.69,0.47,0.47,1.73,2.47,2.77,2.25,2.78,0.86,4.72,3.49,1.88,4.25
c_1,0.58,0.48,6.28,0.6,1.2,0.52,1.95,2.75,0.45,2.01,1.91,3.01,4.7,3.24,2.93,4.8
d_1,0.65,0.56,0.56,6.32,0.76,0.53,1.89,0.57,5.01,2.45,3.52,3.21,4.49,2.24,2.84,3.75
b_1,0.46,0.78,0.58,0.54,7.45,1.16,2.22,2.59,3.67,2.17,0.53,2.73,4.06,2.41,2.26,3.7
a_1,0.54,0.66,0.56,0.67,0.4,9.79,3.12,3.0,2.3,2.0,3.19,3.42,4.02,0.58,4.07,3.95
h_1,0.9,1.43,0.96,1.08,0.98,0.98,14.89,4.35,4.55,4.76,4.75,5.52,3.32,4.23,7.58,10.79
d_0,1.13,1.16,1.83,0.34,0.88,1.0,3.69,13.55,4.11,2.99,5.31,6.56,8.45,4.56,5.82,8.78
c_0,1.29,1.2,0.64,0.98,0.73,1.23,4.21,5.41,13.26,3.68,9.55,4.83,9.03,6.66,7.08,8.43
g_1,1.0,0.77,0.93,1.8,0.84,1.09,3.78,5.14,4.74,18.72,4.94,7.98,7.15,4.87,5.19,2.93
b_0,1.06,1.13,1.29,1.17,0.26,0.83,3.85,5.5,5.71,3.29,16.72,4.97,8.11,11.47,6.8,7.27
f_0,0.98,0.46,1.38,1.14,1.14,1.19,4.27,5.66,4.64,3.76,5.9,16.4,8.0,4.53,11.52,6.45
h_0,0.93,1.5,1.09,1.15,0.93,0.92,1.55,4.01,4.16,3.93,5.9,4.05,3.12,5.02,4.88,9.08
a_0,0.96,1.1,1.18,1.27,0.97,,4.61,4.84,3.47,4.67,5.39,5.13,10.35,23.27,5.32,8.24
e_0,0.22,1.34,1.11,1.2,1.19,1.1,5.49,5.63,5.92,4.21,5.54,6.24,8.95,5.85,23.52,8.47
g_0,0.79,1.06,0.99,1.58,1.13,0.89,4.24,3.55,4.21,1.72,5.84,9.18,6.39,6.23,6.82,4.0
