,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.83,0.51,0.52,0.45,0.29,0.31,0.35,0.3,0.32,0.31,0.22,0.28,0.24,0.26,0.16
e_1,0.53,0.95,0.5,0.63,0.52,0.34,0.37,0.56,0.31,0.32,0.34,0.35,0.33,0.23,0.31,0.2
d_1,0.67,0.6,0.96,0.47,0.48,0.33,0.36,0.31,0.3,0.52,0.35,0.31,0.31,0.25,0.25,0.24
c_1,0.58,0.51,0.6,0.95,0.78,0.34,0.34,0.27,0.31,0.24,0.25,0.33,0.31,0.25,0.25,0.21
b_1,0.66,0.57,0.56,0.49,0.95,0.7,0.43,0.36,0.31,0.34,0.27,0.31,0.28,0.19,0.28,0.24
a_1,0.76,0.7,0.69,0.68,0.43,0.94,0.58,0.4,0.42,0.37,0.44,0.32,0.41,0.28,0.28,0.26
h_1,1.09,0.85,0.93,0.87,0.68,0.41,0.77,0.41,0.57,0.45,0.48,0.41,0.39,0.31,0.47,0.33
d_0,0.9,0.7,0.64,1.46,0.87,0.6,0.65,0.71,0.44,0.38,0.51,0.49,0.44,0.31,0.48,0.38
g_1,0.94,0.85,1.19,0.78,0.75,0.5,0.51,0.49,0.77,0.58,0.56,0.68,0.51,0.4,0.36,0.35
c_0,1.02,0.98,0.84,0.84,0.64,0.61,0.6,0.58,0.5,0.7,0.91,0.54,0.55,0.49,0.44,0.39
b_0,1.05,0.97,1.02,1.0,0.66,0.47,0.62,0.58,0.48,0.5,0.71,0.49,0.55,0.68,0.44,0.39
f_0,0.93,0.74,1.06,0.99,0.88,0.57,0.65,0.6,0.5,0.55,0.64,0.7,0.59,0.49,0.41,0.66
h_0,1.32,1.01,1.11,0.92,0.85,0.55,0.57,0.57,0.68,0.57,0.57,0.49,0.45,0.45,0.53,0.36
a_0,1.08,1.1,1.18,1.08,0.95,0.54,0.78,0.66,0.6,0.54,0.54,0.56,0.52,0.62,0.56,0.41
g_0,1.01,0.92,1.42,1.16,0.93,0.64,0.69,0.59,0.5,0.61,0.64,0.79,0.52,0.45,0.45,0.43
e_0,1.27,0.77,1.06,1.2,1.01,0.71,0.7,0.66,0.62,0.62,0.68,0.52,0.71,0.45,0.54,0.64
