,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.46,30.14,30.11,28.14,32.65,28.18,7.23,6.37,5.83,13.36,8.26,,5.18,2.56,6.07,8.25
c_1,28.95,0.44,36.19,32.0,76.99,41.13,7.26,2.98,,10.11,9.4,5.91,8.74,3.77,6.73,5.05
e_1,20.03,34.64,0.43,36.57,33.57,45.43,9.26,6.02,8.08,10.43,6.97,7.55,5.24,4.85,,5.94
b_1,38.73,17.96,30.26,0.42,34.49,43.92,14.6,7.82,8.37,11.04,,5.65,7.89,5.02,6.11,4.31
d_1,38.25,38.24,42.7,28.65,0.41,24.58,7.21,,9.65,5.21,7.45,6.92,9.35,5.55,8.04,3.72
a_1,47.87,41.94,65.56,29.65,42.69,0.34,12.52,8.84,6.57,11.78,10.21,8.37,,8.15,9.02,5.45
h_1,16.37,25.57,16.65,18.07,17.63,16.08,0.36,3.54,3.75,5.47,4.06,3.61,4.69,,,2.06
d_0,20.57,10.79,8.63,21.29,,16.73,3.95,0.52,3.45,3.9,2.4,2.75,3.04,1.5,3.83,1.89
c_0,13.71,,15.74,17.17,7.97,15.45,4.07,3.26,0.48,5.03,2.6,4.2,3.08,2.46,3.09,1.89
g_1,18.6,18.1,21.92,16.52,26.3,28.17,4.49,4.93,4.82,0.33,3.71,3.97,4.29,2.89,,
b_0,14.19,26.62,13.36,,16.69,21.77,3.91,5.68,1.91,3.95,0.46,2.55,5.27,2.21,3.32,2.9
f_0,,20.32,26.46,14.84,14.98,16.32,6.82,3.4,3.08,3.04,3.53,0.43,,2.76,3.7,1.48
a_0,20.87,27.43,25.22,19.09,13.48,,5.78,6.82,3.61,5.48,1.81,,0.37,3.32,,2.67
h_0,13.27,12.13,13.33,15.95,12.55,14.62,,2.21,2.36,3.03,3.16,2.81,1.79,,2.53,2.02
e_0,26.19,22.61,,17.7,20.14,16.35,,4.57,3.85,,4.13,2.4,,3.3,0.36,1.98
g_0,18.44,13.49,19.77,18.47,17.16,12.19,2.83,2.92,2.55,,2.05,2.72,3.31,1.76,2.22,
