,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.83,1.21,1.54,1.59,1.2,0.67,0.69,0.73,0.56,0.64,0.77,0.5,0.47,1.87,0.52
f_1,1.5,0.41,1.42,1.26,1.23,1.11,0.47,0.56,0.79,0.54,0.48,1.12,0.62,0.37,0.55,0.53
d_1,1.52,1.23,0.4,1.32,1.08,1.47,0.73,1.17,0.5,0.65,0.65,0.48,0.61,0.52,0.51,0.35
c_1,1.06,1.39,1.42,0.39,1.45,1.21,0.74,0.37,0.67,0.99,0.56,0.53,0.55,0.53,0.6,0.51
b_1,1.15,1.37,1.44,0.85,0.36,1.52,0.71,0.66,0.83,0.7,0.98,0.65,0.59,0.59,0.55,0.39
a_1,1.34,1.72,1.33,1.11,0.84,0.3,0.73,0.55,0.89,0.63,0.72,0.65,1.05,0.48,0.47,0.57
h_1,0.99,1.22,0.85,0.96,0.99,0.84,0.26,0.42,0.51,0.37,0.36,0.36,0.41,0.52,0.41,0.44
d_0,0.58,1.13,1.55,1.16,0.96,1.25,0.62,0.27,0.51,0.39,0.4,0.38,0.51,0.39,0.42,0.47
g_1,0.96,1.0,1.08,1.14,0.85,0.89,0.5,0.42,0.23,0.44,0.38,0.45,0.43,0.31,0.41,0.67
c_0,1.06,0.96,0.58,1.9,1.02,0.89,0.63,0.55,0.48,0.26,0.58,0.46,0.45,0.4,0.47,0.47
b_0,0.79,1.12,0.88,1.03,,0.81,0.58,0.39,0.51,0.26,0.25,0.43,0.65,0.38,0.35,0.37
f_0,0.79,1.97,1.03,1.1,0.87,0.82,0.56,0.45,0.38,0.39,0.36,0.23,0.45,0.33,0.51,0.26
a_0,1.0,0.88,0.88,0.98,1.2,,0.52,0.44,0.48,0.41,0.24,0.36,0.21,0.37,0.44,0.41
h_0,0.96,1.01,0.88,0.93,0.92,0.99,0.9,0.43,0.47,0.39,0.42,0.37,0.44,0.66,0.37,0.44
e_0,1.59,1.22,0.73,0.91,0.82,0.99,0.54,0.52,0.49,0.43,0.52,0.24,0.43,0.44,0.21,0.43
g_0,0.87,1.09,1.0,0.8,1.23,1.05,0.47,0.42,0.68,0.37,0.46,0.4,0.5,0.26,0.38,0.57
