,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,22.42,0.72,0.31,0.33,0.32,0.32,0.72,0.67,0.68,0.64,0.17,0.8,0.93,0.48,0.77,0.76
e_1,0.35,24.49,0.31,0.41,0.24,0.31,0.75,0.78,0.66,1.7,0.92,1.02,0.9,0.28,0.74,0.89
d_1,0.35,0.28,24.74,0.31,0.45,0.38,0.69,0.64,1.87,0.15,0.83,0.8,0.73,0.97,0.65,0.68
c_1,0.34,0.32,0.28,30.31,0.67,0.36,0.68,0.74,0.16,0.8,0.75,0.71,0.84,0.79,0.65,0.81
b_1,0.37,0.28,0.4,0.3,30.89,0.67,0.69,0.76,0.63,0.85,0.96,0.24,0.76,0.76,0.61,0.74
a_1,0.38,0.22,0.34,0.41,0.29,52.75,0.83,0.57,0.95,0.84,0.6,0.79,0.92,1.02,0.22,0.95
h_1,0.82,0.53,0.67,0.71,0.62,0.65,9.28,1.4,1.03,1.25,1.77,1.2,0.61,1.19,1.68,2.43
g_1,0.61,0.5,1.28,0.54,0.56,0.49,1.26,11.62,0.97,0.81,2.61,1.49,1.35,1.27,1.53,0.62
c_0,0.79,0.69,0.68,0.2,0.63,0.57,1.45,1.4,5.35,1.42,1.83,3.14,1.72,1.75,1.98,2.13
d_0,0.75,0.58,0.24,1.59,0.59,0.61,1.38,1.33,1.03,5.55,1.36,1.52,1.72,1.91,1.41,1.67
f_0,0.2,0.53,0.92,0.81,0.71,0.56,1.07,1.36,1.59,1.77,6.72,1.67,2.28,3.73,1.69,2.1
b_0,0.62,0.82,0.67,0.72,0.22,0.48,1.83,1.45,1.34,2.01,1.81,5.63,2.2,1.81,4.29,1.43
h_0,0.97,0.77,0.73,0.72,0.39,0.49,0.44,1.84,1.37,1.35,1.44,1.45,0.53,1.14,1.67,2.01
e_0,0.97,0.18,0.79,0.59,0.64,0.87,2.19,1.21,1.96,1.17,1.14,1.49,2.42,9.85,2.08,1.75
a_0,0.69,0.48,0.83,0.61,0.65,,1.4,1.52,1.97,1.33,1.45,1.79,1.78,2.12,8.61,2.7
g_0,0.35,0.6,1.08,0.73,0.59,0.68,1.16,0.69,1.6,1.16,2.59,1.51,1.81,1.52,1.85,0.73
