,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.01,0.06,0.09,0.1,0.17,0.15,0.22,0.25,0.24,0.29,0.23,0.3,0.38,0.54,,0.5
f_1,0.11,0.01,0.08,0.12,0.08,0.11,0.13,0.16,0.17,0.24,0.25,,0.23,0.36,0.38,0.46
d_1,0.07,0.07,0.01,0.06,0.1,0.11,0.14,,0.15,0.1,0.15,0.21,0.19,0.35,0.23,0.16
c_1,0.05,0.05,0.07,0.01,0.08,0.09,0.11,0.06,,0.15,0.14,0.12,0.19,0.18,0.27,0.19
b_1,0.03,0.05,0.03,0.02,,0.09,0.07,0.07,0.09,0.12,,0.1,0.1,,0.12,0.09
a_1,0.02,0.02,0.02,0.02,0.01,,0.04,0.04,0.03,0.04,0.03,,0.05,,0.08,
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
