,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.89,0.16,0.36,0.18,0.13,0.09,0.15,0.1,0.16,0.12,0.05,0.12,0.15,0.13,0.09,0.05
d_1,0.23,0.89,0.18,0.14,0.15,0.08,0.16,0.15,0.08,0.3,0.17,0.18,0.19,0.15,0.11,0.1
e_1,0.2,0.15,0.89,0.19,0.17,0.12,0.17,0.13,0.29,0.16,0.16,0.15,0.19,0.15,0.09,0.05
c_1,0.2,0.19,0.16,0.89,0.31,0.07,0.16,0.12,0.15,0.04,0.13,0.11,0.16,0.14,0.09,0.1
b_1,0.2,0.18,0.16,0.19,0.88,0.2,0.18,0.13,0.15,0.15,0.15,0.06,0.15,0.15,0.07,0.11
a_1,0.2,0.22,0.16,0.2,0.13,0.88,0.16,0.15,0.17,0.16,0.18,0.15,0.16,0.13,0.02,0.09
h_1,0.31,0.22,0.19,0.28,0.18,0.1,0.57,0.2,0.2,0.18,0.16,0.19,0.1,0.25,0.11,0.15
g_1,0.19,0.37,0.21,0.23,0.15,0.13,0.16,0.55,0.16,0.21,0.27,0.18,0.18,0.08,0.09,0.13
d_0,0.22,0.14,0.22,0.41,0.19,0.12,0.23,0.19,0.41,0.15,0.14,0.17,0.18,0.16,0.14,0.11
c_0,0.22,0.26,0.21,0.12,0.17,0.16,0.23,0.2,0.23,0.41,0.24,0.35,0.24,0.18,0.16,0.15
f_0,0.12,0.31,0.18,0.22,0.22,0.14,0.23,0.23,0.2,0.22,0.43,0.21,0.22,0.18,0.14,0.26
b_0,0.25,0.29,0.19,0.28,0.09,0.11,0.23,0.15,0.21,0.18,0.19,0.39,0.23,0.19,0.26,0.14
h_0,0.32,0.28,0.22,0.21,0.2,0.12,0.12,0.21,0.18,0.18,0.21,0.19,0.12,0.23,0.12,0.11
g_0,0.19,0.37,0.22,0.23,0.17,0.13,0.23,0.12,0.2,0.21,0.3,0.2,0.16,0.09,0.14,0.13
a_0,0.22,0.28,0.22,0.22,0.19,0.08,0.26,0.15,0.21,0.15,0.21,0.16,0.24,0.22,0.38,0.08
e_0,0.21,0.3,0.1,0.23,0.21,0.13,0.28,0.21,0.2,0.17,0.19,0.23,0.25,0.23,0.15,0.38
