,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.5,1.33,1.3,1.18,1.14,0.55,0.68,0.5,0.55,0.57,1.0,0.36,0.62,0.48,0.72
e_1,0.81,0.42,1.43,1.51,1.3,1.43,0.68,0.85,0.53,0.73,0.67,0.61,0.53,0.56,1.3,0.47
d_1,1.32,1.3,0.4,1.22,1.43,1.22,0.69,0.55,0.64,1.15,0.56,0.61,0.49,0.6,0.64,0.32
c_1,1.26,1.11,1.66,0.39,1.44,1.01,0.82,0.72,1.15,0.37,0.59,0.6,0.48,0.48,0.61,0.54
b_1,1.55,1.25,1.17,0.81,0.37,2.06,0.75,0.68,0.71,0.58,1.41,0.53,0.51,0.54,0.61,0.44
a_1,1.4,1.38,1.62,1.65,0.68,0.3,0.59,0.65,0.71,0.59,0.59,0.53,0.75,2.19,0.56,0.46
h_1,1.04,1.01,0.92,0.84,1.04,1.0,0.26,0.52,0.44,0.55,0.38,0.42,0.7,0.38,0.38,0.43
g_1,1.35,0.96,0.83,0.97,0.93,1.02,0.47,0.23,0.43,0.43,0.45,0.51,0.31,0.47,0.34,0.6
c_0,1.15,1.0,0.6,2.11,1.01,0.8,0.55,0.54,0.26,0.48,0.45,0.4,0.4,0.46,0.38,0.39
d_0,1.01,0.58,1.88,1.09,1.17,0.83,0.51,0.6,0.48,0.28,0.46,0.44,0.42,0.47,0.39,0.46
b_0,0.95,0.88,0.91,1.08,1.55,0.82,0.55,0.51,0.28,0.37,0.25,0.42,0.36,0.52,0.41,0.37
f_0,2.21,0.94,0.76,1.03,0.93,0.93,0.57,0.37,0.45,0.44,0.46,0.23,0.42,0.36,0.4,0.29
h_0,1.15,0.9,0.86,0.99,1.19,0.71,0.71,0.45,0.48,0.35,0.4,0.34,0.51,0.39,0.44,0.49
a_0,0.99,0.95,0.93,0.98,1.13,,0.61,0.5,0.38,0.39,0.23,0.53,0.36,0.22,0.44,0.43
e_0,1.04,1.47,0.8,0.87,0.96,1.01,0.58,0.63,0.47,0.43,0.39,0.32,0.28,0.39,0.2,0.38
g_0,0.83,1.03,0.94,0.94,1.03,1.17,0.38,,0.37,0.38,0.41,0.41,0.25,0.39,0.41,0.55
