,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.93,0.09,0.08,0.1,0.08,0.04,0.08,0.06,0.1,0.06,0.06,0.06,0.08,,0.06,0.04
f_1,0.17,0.93,0.11,0.09,0.08,0.06,0.07,0.06,0.07,0.07,,0.06,0.07,0.03,0.04,0.03
d_1,0.1,0.11,0.93,0.1,0.09,0.07,0.07,0.05,,0.11,0.06,0.07,0.07,0.04,0.05,0.03
c_1,0.09,0.14,0.1,0.93,0.14,0.06,0.08,0.05,0.07,,0.06,0.06,0.08,0.04,0.05,0.04
b_1,0.12,0.13,0.09,0.07,0.93,0.12,0.08,0.05,0.07,0.07,0.07,,0.07,0.06,0.05,
a_1,0.17,0.14,0.13,0.11,0.09,0.93,0.09,0.06,0.07,0.08,0.06,0.05,0.06,,0.06,
h_1,0.28,0.39,0.29,0.24,0.26,0.17,0.71,0.25,0.16,0.2,0.16,0.16,,0.11,0.13,0.14
g_1,0.38,0.22,0.46,0.28,0.22,0.23,0.17,0.71,0.19,0.2,0.22,0.16,0.15,0.13,,0.13
d_0,0.31,0.4,,0.51,0.31,0.28,0.27,0.19,0.56,0.19,0.22,0.19,0.21,0.14,0.19,0.16
c_0,0.39,0.34,0.32,,0.26,0.26,0.21,0.22,0.23,0.57,0.24,0.34,0.2,0.15,0.18,0.15
f_0,0.42,,0.31,0.38,0.3,0.25,0.26,0.17,0.27,0.22,0.58,0.21,0.17,0.23,0.2,0.16
b_0,0.38,0.33,0.3,0.38,,0.26,0.27,0.26,0.26,0.19,0.19,0.59,0.19,0.2,0.21,0.23
h_0,0.47,0.59,0.44,0.44,0.37,0.41,,0.32,0.29,0.31,0.27,0.27,,0.21,0.29,0.18
e_0,,0.49,0.44,0.44,0.26,,0.31,0.26,0.28,0.24,0.27,0.17,0.26,0.58,0.17,
g_0,0.42,0.47,0.71,0.45,0.46,0.3,0.35,,0.32,0.36,0.34,0.19,0.28,0.29,,0.16
a_0,0.4,0.51,0.59,0.4,,,0.23,0.23,0.25,0.25,0.23,0.23,0.23,,0.25,0.58
