,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.47,19.76,35.7,41.1,27.24,34.55,9.71,6.07,10.89,6.59,4.64,5.34,3.99,,6.11,5.28
f_1,32.67,0.45,41.12,40.98,36.46,34.93,6.31,5.99,12.62,5.9,5.97,,2.89,5.06,5.4,4.18
d_1,48.32,45.0,0.43,28.32,41.05,28.86,8.85,,5.67,5.45,7.24,7.6,4.02,7.59,6.12,2.84
c_1,33.9,34.0,39.4,0.42,36.14,37.79,7.75,3.2,10.63,,9.49,12.43,6.25,7.04,7.52,3.75
b_1,35.0,29.56,32.38,23.26,0.4,54.34,7.64,7.26,9.35,8.48,,8.13,7.99,8.68,,3.86
a_1,42.29,40.96,53.71,31.45,26.11,0.32,12.31,12.06,,11.1,13.99,6.86,7.72,,,
h_1,23.04,17.5,17.97,14.66,16.43,21.32,0.36,4.18,5.87,3.12,3.45,2.67,,3.03,3.35,3.21
d_0,7.84,15.92,,19.77,12.27,13.27,3.84,0.5,4.06,3.99,3.33,3.49,1.49,3.12,4.02,2.42
g_1,20.8,30.03,23.28,20.66,21.58,,4.33,3.9,0.33,4.53,4.1,2.82,2.0,4.79,4.19,
c_0,19.38,15.27,7.27,,29.42,10.53,4.77,3.87,4.78,0.47,3.31,2.89,1.87,3.16,,1.95
b_0,15.66,14.98,15.44,19.86,,21.87,4.28,3.73,5.15,1.88,0.45,3.39,2.85,3.53,2.51,3.24
f_0,17.99,,13.66,17.08,13.25,19.65,7.25,2.89,3.05,4.23,4.48,0.44,2.64,2.56,,1.76
h_0,12.01,11.45,12.99,12.92,8.64,13.7,,2.92,3.54,2.25,2.89,2.71,,2.42,2.73,1.58
e_0,,22.11,17.14,23.76,21.84,,5.63,6.41,4.88,4.26,3.91,2.49,2.94,0.36,,2.79
a_0,24.33,22.66,22.58,16.1,,,8.47,3.12,4.0,,1.75,,3.48,,0.36,
g_0,15.7,19.49,21.47,13.04,17.98,,3.41,4.06,,2.73,3.62,2.4,1.65,2.45,,
