,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.46,2.38,4.33,4.25,4.4,4.86,1.32,1.05,1.39,0.71,0.9,0.88,0.98,0.67,0.65,4.48
f_1,4.02,0.45,3.76,4.0,4.8,4.49,0.91,0.89,1.29,0.84,0.71,3.39,0.86,0.39,0.74,0.57
d_1,6.48,4.67,0.43,4.04,4.01,4.31,1.11,4.22,0.76,0.95,0.85,0.83,0.87,0.62,0.39,0.78
c_1,4.6,4.45,5.86,0.41,4.93,4.29,1.39,0.46,1.35,3.58,0.98,0.85,0.85,0.72,0.62,0.79
b_1,6.69,5.31,5.62,2.81,0.37,5.99,1.43,0.91,1.88,1.02,11.8,1.25,1.22,1.2,0.84,1.08
a_1,5.22,7.58,5.63,7.97,3.17,0.32,1.88,1.26,1.83,1.09,1.79,1.17,7.47,0.69,1.12,1.23
h_1,5.18,4.34,4.57,5.36,4.38,4.44,0.37,1.11,1.56,1.14,1.01,1.04,0.86,1.41,0.65,1.04
d_0,2.47,6.7,15.0,6.05,7.65,5.63,2.28,0.46,1.79,0.99,1.11,1.08,0.99,0.72,0.84,1.1
g_1,5.72,6.16,5.87,5.21,5.55,5.65,1.25,1.24,0.31,1.43,1.2,1.29,1.51,0.65,3.06,1.2
c_0,5.44,4.9,3.02,26.27,9.21,5.02,1.86,1.56,1.82,0.44,1.28,1.39,1.32,1.13,0.95,1.16
b_0,4.23,8.26,6.17,6.74,,6.01,1.7,1.36,1.85,0.67,0.4,1.05,1.1,0.98,0.73,1.33
f_0,5.3,26.22,4.96,6.73,4.94,5.33,1.67,1.41,0.97,1.13,1.2,0.38,1.29,0.93,0.6,1.39
a_0,5.38,8.03,5.6,8.21,7.73,,1.88,1.87,2.45,1.83,0.75,1.23,0.35,1.15,0.97,1.49
h_0,5.49,7.6,7.06,8.52,7.38,5.48,5.11,1.6,2.7,1.43,1.6,1.38,1.35,2.51,1.13,1.5
g_0,7.26,8.77,6.88,11.21,8.45,4.3,1.68,1.68,,1.23,1.33,1.25,1.43,0.7,2.33,1.09
e_0,15.64,11.9,6.43,6.99,6.08,6.44,1.84,1.5,1.67,1.89,1.33,0.73,1.27,1.34,1.08,0.36
