,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.04,1.12,1.49,1.62,1.53,1.22,0.55,0.53,0.53,0.43,0.5,0.5,0.36,0.49,0.38,0.41
f_1,1.66,1.04,1.37,1.44,1.37,1.17,0.46,0.56,0.45,0.45,0.48,0.45,0.3,0.33,0.36,0.35
d_1,1.76,1.74,1.04,1.68,1.39,1.2,0.59,0.42,0.57,0.5,0.47,0.46,0.34,0.39,0.27,0.37
c_1,1.4,1.76,1.8,1.05,1.83,1.51,0.63,0.6,0.33,0.53,0.43,0.44,0.38,0.42,0.35,0.42
b_1,1.8,2.12,2.14,1.23,1.05,1.95,0.85,0.85,0.54,0.7,0.55,0.59,0.47,0.53,0.41,0.44
a_1,2.66,2.64,2.55,2.03,1.35,1.06,0.93,0.85,0.73,0.73,0.73,0.83,0.55,0.56,0.52,0.7
h_1,4.49,4.8,4.32,4.1,3.45,3.43,1.23,1.62,1.32,1.32,1.2,1.23,1.18,1.07,0.91,1.02
g_1,5.28,5.18,5.49,5.09,4.44,3.84,1.65,1.26,1.62,1.54,1.83,1.54,0.97,1.3,1.31,1.35
d_0,3.88,5.26,6.09,6.06,5.42,4.62,2.1,1.85,1.37,1.41,1.59,1.63,1.15,1.71,1.33,1.43
c_0,5.66,5.62,3.83,7.31,4.66,4.08,2.16,1.8,2.22,1.33,1.63,1.79,1.24,1.31,1.06,1.63
f_0,5.28,7.17,5.66,6.03,5.3,4.9,2.31,1.48,1.73,1.58,1.34,1.68,1.3,1.78,0.97,1.4
b_0,5.83,6.03,4.93,7.5,6.73,4.93,2.24,1.97,2.04,1.17,1.61,1.31,1.38,1.57,1.27,1.71
h_0,6.88,7.41,6.87,6.95,6.41,5.46,2.89,2.99,2.13,2.12,2.03,1.97,1.73,1.69,1.64,1.65
e_0,8.27,10.4,7.3,7.87,5.98,6.7,2.83,2.58,2.29,2.14,1.45,2.01,1.82,1.42,1.32,1.88
g_0,7.46,8.83,8.57,7.95,7.57,6.48,2.75,2.9,2.38,2.54,2.53,2.35,1.52,2.1,1.9,2.03
a_0,7.91,8.09,8.28,8.74,9.34,9.3,3.26,2.82,2.44,1.87,2.56,1.47,1.85,2.28,1.85,1.47
