,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.4,0.73,0.46,0.76,0.67,0.59,0.38,0.38,0.31,0.46,0.35,0.35,0.25,0.29,0.46,0.34
d_1,0.75,0.4,0.75,0.69,0.62,0.62,0.35,0.46,0.32,0.25,0.31,0.26,0.25,0.18,0.29,0.29
f_1,0.74,0.64,0.4,0.71,0.61,0.62,0.29,0.29,0.29,0.4,0.28,0.38,0.22,0.29,0.28,0.3
c_1,0.56,0.78,0.61,0.39,0.83,0.62,0.36,0.19,0.35,0.34,0.28,0.3,0.25,0.24,0.3,0.24
b_1,0.66,0.74,0.78,0.39,0.36,0.97,0.38,0.3,0.36,0.35,0.38,0.29,0.3,0.28,0.3,0.28
a_1,0.76,0.72,0.71,0.76,0.38,0.3,0.39,0.34,0.29,0.41,0.37,0.33,0.27,0.28,0.28,0.35
h_1,0.6,0.67,0.77,0.62,0.59,0.52,0.23,0.28,0.27,0.37,0.26,0.26,0.26,0.24,0.25,0.29
d_0,0.4,0.71,0.64,0.87,0.68,0.57,0.38,0.24,0.26,0.39,0.32,0.28,0.23,0.25,0.31,0.27
c_0,0.68,0.44,0.75,0.82,0.65,0.59,0.36,0.42,0.23,0.32,0.32,0.29,0.26,0.24,0.29,0.3
g_1,0.55,0.7,0.66,0.66,0.63,0.55,0.27,0.29,0.32,0.21,0.34,0.3,0.19,0.24,0.29,0.26
b_0,0.61,0.55,0.77,0.8,0.76,0.52,0.34,0.29,0.19,0.32,0.22,0.25,0.25,0.27,0.25,0.29
f_0,0.57,0.63,0.85,0.68,0.64,0.53,0.35,0.32,0.29,0.25,0.3,0.22,0.24,0.18,0.3,0.26
h_0,0.62,0.6,0.65,0.66,0.59,0.57,0.38,0.32,0.27,0.37,0.27,0.27,0.28,0.26,0.23,0.24
g_0,0.54,0.7,0.69,0.7,0.61,0.59,0.27,0.32,0.27,0.38,0.25,0.28,0.2,0.28,0.27,0.25
e_0,0.79,0.51,0.77,0.67,0.67,0.52,0.36,0.33,0.29,0.27,0.31,0.19,0.26,0.25,0.18,0.25
a_0,0.57,0.53,0.74,0.76,0.74,0.77,0.35,0.28,0.24,0.34,0.19,0.28,0.26,0.25,0.26,0.19
