,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,1.12,1.29,1.42,2.59,17.01,28.77,26.91,42.33,40.62,50.57,67.79,108.28,87.29,129.79
e_1,0.8,1.0,1.19,1.44,1.49,3.06,23.3,36.31,25.97,41.27,43.22,65.2,81.66,128.46,130.79,139.57
d_1,0.88,0.83,1.0,1.01,1.07,2.27,15.5,21.16,30.34,22.72,39.41,44.48,64.56,84.17,89.52,82.97
c_1,0.79,0.69,0.99,1.0,1.5,2.27,16.98,14.53,23.06,30.36,26.77,42.34,57.06,77.88,91.52,98.28
b_1,0.69,0.68,0.94,0.68,1.0,3.01,17.49,19.24,20.83,32.7,34.91,39.99,60.44,71.57,69.99,91.09
a_1,0.38,0.33,0.45,0.44,0.34,1.0,9.03,10.95,9.84,16.04,18.17,22.36,29.41,45.07,44.84,51.49
h_1,0.06,0.04,0.06,0.06,0.06,0.11,1.0,1.17,1.31,2.1,2.13,2.53,3.43,4.75,5.28,6.58
d_0,0.03,0.03,0.05,0.07,0.05,0.09,0.81,1.0,0.83,1.42,1.66,2.12,2.96,3.72,4.25,4.44
c_0,0.04,0.04,0.03,0.04,0.05,0.1,0.78,1.3,1.0,1.46,2.27,1.82,2.79,4.21,3.95,4.63
g_1,0.02,0.02,0.04,0.03,0.03,0.06,0.47,0.65,0.71,1.0,1.08,1.81,1.92,2.61,3.11,3.0
b_0,0.03,0.02,0.03,0.04,0.03,0.05,0.46,0.6,0.46,0.96,1.0,1.21,1.82,3.37,2.67,2.93
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.38,0.49,0.53,0.57,0.78,1.0,1.41,1.71,2.85,1.68
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.3,0.36,0.36,0.53,0.57,0.73,1.0,1.33,1.24,1.88
a_0,0.01,0.01,0.01,0.01,0.01,0.02,0.2,0.25,0.26,0.37,0.31,0.57,0.77,1.0,1.07,1.24
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.24,0.25,0.31,0.39,0.36,0.81,0.98,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.23,0.22,0.33,0.35,0.61,0.54,0.9,0.98,1.0
