,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.41,0.63,0.57,0.6,0.56,0.51,0.26,0.27,0.31,0.26,0.32,0.27,0.19,0.27,0.22,0.27
e_1,0.45,0.41,0.71,0.58,0.62,0.59,0.31,0.33,0.34,0.26,0.34,0.27,0.25,0.34,0.29,0.24
c_1,0.61,0.5,0.38,0.72,0.65,0.52,0.29,0.19,0.33,0.29,0.27,0.24,0.24,0.24,0.25,0.23
d_1,0.6,0.64,0.57,0.38,0.58,0.54,0.32,0.33,0.23,0.3,0.27,0.29,0.23,0.24,0.25,0.16
b_1,0.63,0.6,0.41,0.64,0.35,0.66,0.35,0.27,0.35,0.32,0.25,0.32,0.24,0.25,0.28,0.22
a_1,0.7,0.62,0.56,0.62,0.37,0.31,0.36,0.3,0.36,0.31,0.26,0.34,0.24,0.28,0.36,0.24
h_1,0.64,0.56,0.58,0.53,0.54,0.54,0.22,0.24,0.3,0.23,0.24,0.26,0.23,0.23,0.24,0.23
d_0,0.56,0.41,0.72,0.7,0.54,0.5,0.35,0.23,0.34,0.26,0.29,0.31,0.23,0.27,0.28,0.27
g_1,0.61,0.54,0.57,0.57,0.57,0.55,0.25,0.26,0.21,0.23,0.27,0.24,0.19,0.26,0.28,0.22
c_0,0.62,0.57,0.75,0.39,0.65,0.58,0.34,0.31,0.31,0.22,0.24,0.35,0.24,0.28,0.28,0.2
f_0,0.7,0.52,0.61,0.53,0.57,0.55,0.31,0.25,0.23,0.25,0.21,0.26,0.21,0.29,0.27,0.16
b_0,0.6,0.56,0.81,0.45,0.69,0.5,0.31,0.26,0.27,0.16,0.25,0.2,0.21,0.25,0.28,0.21
h_0,0.63,0.54,0.57,0.54,0.54,0.52,0.35,0.25,0.3,0.24,0.25,0.24,0.23,0.22,0.25,0.21
e_0,0.66,0.59,0.62,0.51,0.58,0.51,0.33,0.26,0.26,0.23,0.16,0.24,0.21,0.17,0.25,0.17
a_0,0.63,0.56,0.67,0.53,0.59,0.5,0.34,0.25,0.27,0.2,0.24,0.16,0.22,0.23,0.18,0.22
g_0,0.6,0.57,0.55,0.61,0.52,0.53,0.25,0.23,0.32,0.26,0.26,0.25,0.19,0.23,0.22,0.23
