,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.9,0.76,0.96,0.97,0.78,0.49,0.48,0.62,0.39,0.43,0.42,0.39,0.33,0.34,0.33
d_1,1.11,1.0,1.08,0.92,0.89,0.64,0.62,0.38,0.52,0.56,0.45,0.36,0.27,0.38,0.3,0.26
f_1,1.31,0.92,1.0,0.91,0.93,0.89,0.37,0.47,0.38,0.41,0.39,0.44,0.3,0.4,0.28,0.34
c_1,1.05,1.09,1.09,1.0,1.36,0.65,0.51,0.47,0.34,0.41,0.35,0.36,0.37,0.34,0.32,0.27
b_1,1.03,1.13,1.08,0.74,1.0,1.26,0.64,0.59,0.51,0.54,0.39,0.42,0.38,0.27,0.35,0.35
a_1,1.28,1.56,1.13,1.54,0.79,1.0,0.55,0.77,0.62,0.65,0.62,0.57,0.58,0.38,0.47,0.48
h_1,2.03,1.65,2.74,2.04,1.48,1.76,1.0,1.05,0.91,0.92,0.96,0.83,0.72,0.63,0.59,0.7
g_1,2.11,2.58,2.12,2.01,1.73,1.26,0.95,1.0,0.78,0.87,0.85,1.09,0.67,0.64,0.71,0.55
d_0,1.52,2.04,2.59,3.05,2.11,1.62,1.08,1.29,1.0,1.0,1.04,0.91,0.85,0.75,0.77,0.67
c_0,2.58,1.76,2.39,2.49,1.95,1.66,1.09,1.23,1.03,1.0,1.34,0.99,0.84,0.89,0.76,0.61
b_0,2.15,2.22,2.58,2.89,2.84,1.6,1.03,1.19,0.97,0.68,1.0,0.95,0.8,0.91,0.69,0.67
f_0,2.37,2.87,2.57,2.77,2.26,1.77,1.29,0.88,1.15,1.06,1.04,1.0,0.94,0.78,1.15,0.61
h_0,2.37,3.6,3.36,2.73,2.76,1.66,1.42,1.51,1.16,1.16,1.17,1.04,1.0,0.91,0.82,1.0
a_0,2.8,2.54,2.61,3.05,3.6,2.11,1.63,1.58,1.25,1.03,1.13,1.34,1.18,1.0,0.9,0.94
e_0,2.67,3.26,3.58,3.32,2.91,2.07,1.73,1.37,1.42,1.34,1.49,0.81,1.17,1.16,1.0,1.18
g_0,2.96,3.97,3.13,3.77,2.85,2.05,1.38,,1.52,1.59,1.57,1.59,1.01,1.09,0.84,1.0
