,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.06,1.18,1.17,1.37,3.24,16.29,19.1,39.02,39.98,45.18,36.46,84.96,72.41,95.71,90.65
f_1,0.94,1.0,1.51,1.39,1.48,3.61,14.19,27.54,22.55,28.23,37.2,35.68,61.19,70.82,57.53,93.21
e_1,0.85,0.66,1.0,1.24,1.29,2.94,17.8,21.08,25.42,40.89,45.56,36.4,63.64,53.34,78.55,74.35
c_1,0.85,0.72,0.81,1.0,1.67,2.58,16.68,20.55,17.73,17.39,33.35,36.02,61.6,72.04,74.92,71.83
b_1,0.73,0.68,0.78,0.6,1.0,3.27,10.85,18.73,16.94,24.41,21.65,26.15,40.12,52.2,63.74,71.52
a_1,0.31,0.28,0.34,0.39,0.31,1.0,4.91,8.5,9.61,7.88,9.98,11.51,23.66,22.91,21.65,25.84
h_1,0.06,0.07,0.06,0.06,0.09,0.2,1.0,2.13,1.51,1.9,2.32,2.56,4.91,4.94,4.86,6.21
g_1,0.05,0.04,0.05,0.05,0.06,0.12,0.47,1.0,0.89,1.1,1.57,1.86,2.59,2.13,3.53,3.68
c_0,0.02,0.05,0.04,0.06,0.06,0.12,0.69,1.1,1.0,1.3,2.01,1.49,3.11,2.6,3.2,3.6
d_0,0.03,0.04,0.02,0.06,0.04,0.14,0.53,0.86,0.73,1.0,1.1,1.37,1.95,2.24,2.79,3.08
b_0,0.02,0.03,0.02,0.03,0.04,0.1,0.43,0.65,0.51,0.91,1.0,1.19,2.78,2.22,2.38,2.58
f_0,0.03,0.03,0.03,0.03,0.04,0.09,0.38,0.55,0.64,0.75,0.85,1.0,1.7,2.04,2.65,2.13
a_0,0.01,0.02,0.02,0.02,0.03,,0.21,0.36,0.32,0.49,0.36,0.6,1.0,1.14,0.91,1.31
h_0,0.01,0.01,0.02,0.01,0.02,0.04,0.22,0.47,0.38,0.45,0.47,0.52,0.88,1.0,1.0,1.38
e_0,0.01,0.02,0.01,0.01,0.02,0.04,0.22,0.28,0.33,0.36,0.42,0.37,1.11,0.9,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.27,0.28,0.31,0.36,0.45,0.77,0.72,0.77,1.0
