,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.01,0.1,0.08,0.11,0.1,0.17,0.2,0.16,,0.23,0.2,0.24,0.28,0.41,0.24,0.35
f_1,0.08,0.01,0.09,0.13,0.1,0.13,0.15,0.21,0.18,0.22,0.2,,0.18,0.28,0.33,0.36
e_1,0.1,0.05,0.01,0.1,0.09,0.14,0.18,0.21,0.21,0.26,0.24,0.27,0.23,0.27,0.24,
c_1,0.05,0.04,0.05,0.01,0.07,0.08,0.1,0.11,0.07,,0.1,0.17,0.17,0.14,0.19,0.29
b_1,0.04,0.04,0.04,0.03,,,0.08,0.08,0.08,0.08,,0.1,0.1,,0.14,0.18
a_1,0.01,0.01,0.01,0.02,,,0.04,,0.03,0.03,0.04,0.04,0.04,,0.05,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
