,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.65,0.68,1.05,0.98,0.89,0.85,0.44,0.46,0.43,0.36,0.34,0.46,0.34,0.28,0.35,0.28
f_1,1.04,0.64,0.98,1.01,0.91,0.82,0.33,0.43,0.36,0.36,0.35,0.38,0.3,0.23,0.27,0.32
c_1,0.83,0.98,0.63,1.03,1.13,0.94,0.47,0.43,0.25,0.34,0.37,0.37,0.34,0.28,0.32,0.27
d_1,1.09,0.99,0.98,0.63,1.0,0.85,0.43,0.32,0.49,0.38,0.4,0.35,0.33,0.27,0.31,0.21
b_1,1.09,1.13,0.74,1.05,0.62,1.15,0.48,0.49,0.34,0.47,0.45,0.34,0.31,0.32,0.37,0.31
a_1,1.15,1.25,1.08,1.17,0.72,0.58,0.64,0.58,0.45,0.56,0.44,0.45,0.52,0.37,0.52,0.35
h_1,1.55,2.04,1.46,1.45,1.45,1.15,0.54,0.7,0.59,0.58,0.57,0.53,0.55,0.52,0.54,0.52
g_1,1.77,1.7,1.66,1.73,1.66,1.3,0.66,0.51,0.61,0.63,0.61,0.66,0.61,0.39,0.59,0.55
d_0,1.27,1.61,2.02,1.86,1.91,1.59,0.85,0.92,0.56,0.7,0.6,0.67,0.6,0.56,0.64,0.5
b_0,1.75,1.75,2.12,1.42,1.91,1.5,0.78,0.71,0.68,0.53,0.45,0.64,0.71,0.49,0.56,0.45
c_0,2.0,1.86,2.29,1.21,1.7,1.77,0.82,0.73,0.96,0.69,0.53,0.62,0.64,0.55,0.64,0.5
f_0,1.76,2.37,1.72,1.76,2.0,1.67,0.86,0.6,0.67,0.65,0.65,0.51,0.67,0.57,0.69,0.4
a_0,1.99,2.23,2.1,1.82,2.49,1.85,0.87,0.91,0.8,0.48,0.58,0.68,0.52,0.63,0.57,0.56
h_0,2.07,2.14,2.13,2.02,1.88,1.64,0.98,0.97,0.73,0.71,0.67,0.7,0.62,0.69,0.58,0.62
e_0,2.48,2.92,1.95,1.86,2.18,1.69,0.86,0.73,0.77,0.82,0.74,0.47,0.83,0.69,0.51,0.56
g_0,2.13,2.19,2.11,2.37,2.06,1.98,0.81,1.09,0.86,0.78,0.76,0.84,0.66,0.54,0.72,0.67
