,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.73,1.26,1.05,1.2,0.99,0.55,0.47,0.47,0.34,0.41,0.47,0.34,0.37,0.44,0.36
f_1,1.19,0.65,1.04,1.02,0.97,0.81,0.36,0.43,0.54,0.38,0.41,0.4,0.24,0.35,0.31,0.31
c_1,0.87,1.12,0.64,1.38,1.27,0.93,0.45,0.26,0.49,0.43,0.33,0.37,0.34,0.36,0.34,0.34
d_1,1.22,1.11,1.08,0.64,1.11,1.03,0.48,0.63,0.33,0.44,0.39,0.41,0.29,0.37,0.38,0.23
b_1,1.2,1.37,0.73,1.21,0.62,1.43,0.55,0.42,0.57,0.61,0.56,0.43,0.45,0.38,0.44,0.37
a_1,1.46,1.73,1.42,1.39,0.73,0.57,0.68,0.55,0.67,0.5,0.71,0.5,0.47,0.73,0.52,0.41
h_1,1.86,1.98,1.85,1.74,1.62,1.39,0.54,0.58,0.74,0.58,0.64,0.55,0.59,0.59,0.53,0.59
d_0,1.29,1.77,2.19,2.18,2.04,1.94,0.95,0.57,0.99,0.65,0.7,0.72,0.65,0.56,0.77,0.68
g_1,1.92,1.88,2.0,2.0,1.91,1.82,0.74,0.72,0.52,0.64,0.7,0.68,0.47,0.62,0.64,0.62
c_0,2.12,1.91,3.03,1.28,1.81,1.75,1.07,1.08,0.83,0.57,0.8,0.67,0.57,0.68,0.64,0.56
b_0,1.78,1.88,2.78,1.71,2.59,1.52,0.91,0.85,0.85,0.47,0.56,0.66,0.57,0.87,0.7,0.58
f_0,1.9,2.77,2.11,1.92,2.11,1.91,1.1,0.79,0.68,0.8,0.76,0.55,0.6,0.75,0.81,0.42
h_0,2.23,2.57,2.27,2.17,1.87,1.82,1.02,0.84,1.13,0.8,0.81,0.8,0.73,0.73,0.65,0.57
a_0,2.16,2.28,2.54,2.0,2.66,2.26,1.06,1.04,1.01,0.72,0.5,0.74,0.63,0.55,0.79,0.65
e_0,2.67,3.36,2.45,2.23,2.12,1.81,0.97,0.86,0.9,0.83,0.74,0.48,0.7,0.67,0.54,0.6
g_0,2.5,2.38,2.25,2.61,2.22,2.14,0.83,0.92,1.09,0.87,0.82,0.91,0.57,0.78,0.78,0.72
