,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.23,1.95,2.07,2.02,1.94,0.66,0.99,0.54,0.59,0.59,0.74,0.39,0.57,0.43,0.47
e_1,1.55,1.06,2.39,2.72,2.19,2.1,0.89,0.92,0.67,0.84,0.73,0.74,0.55,0.6,1.14,0.56
d_1,2.76,2.4,1.06,2.52,1.94,1.67,0.86,0.6,0.77,1.03,0.65,0.57,0.45,0.55,0.57,0.35
c_1,2.63,2.16,2.38,1.07,3.12,1.85,0.95,0.89,1.24,0.47,0.68,0.71,0.58,0.6,0.59,0.61
b_1,2.97,2.99,3.17,1.48,1.07,2.6,1.24,1.09,0.97,0.9,1.17,0.78,0.63,0.78,0.72,0.54
a_1,4.18,4.0,3.8,4.09,2.18,1.07,1.48,1.2,1.05,1.12,1.53,1.09,0.98,2.74,1.23,0.86
h_1,6.56,5.8,5.66,5.6,4.94,4.69,1.34,2.27,1.68,1.77,1.64,1.67,2.11,1.45,1.26,1.4
g_1,7.1,6.2,7.81,6.69,6.46,6.48,2.24,1.34,2.29,2.12,2.03,2.17,1.27,1.57,2.06,2.04
c_0,8.27,7.21,4.76,10.79,6.53,6.49,3.23,2.27,1.52,2.76,2.65,2.22,1.72,2.0,1.89,1.62
d_0,7.21,4.64,11.64,9.41,7.52,7.42,2.96,2.74,1.97,1.54,1.91,2.3,1.67,2.08,2.05,1.64
b_0,7.72,7.56,7.2,9.17,10.17,7.75,2.91,2.89,1.43,2.62,1.52,2.22,2.22,2.54,2.52,1.7
f_0,13.43,8.26,8.83,8.31,6.98,6.99,3.24,2.15,2.36,2.21,2.33,1.55,1.88,2.1,2.43,1.24
h_0,10.66,9.56,10.42,9.91,9.61,8.42,3.95,3.7,2.98,2.99,2.42,2.58,3.16,2.19,2.06,2.4
a_0,10.63,10.25,10.03,10.91,10.64,9.43,3.79,3.67,2.69,3.23,1.76,2.86,2.67,1.62,3.19,1.91
e_0,15.4,15.51,10.56,11.19,10.13,7.38,4.33,2.94,3.34,3.17,2.98,2.05,2.72,2.57,1.59,2.19
g_0,13.7,11.71,12.6,11.13,13.27,8.42,3.59,5.74,3.7,3.81,3.31,3.67,2.3,3.09,3.22,3.54
