,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.75,1.23,0.76,0.8,0.75,0.62,0.85,0.89,0.95,0.94,0.99,0.78,0.97,0.85,0.66,0.88
e_1,0.83,1.79,1.03,0.71,0.77,0.73,0.96,0.98,1.61,0.9,1.07,0.96,0.99,0.95,0.74,1.04
c_1,0.77,0.7,1.89,0.87,1.29,0.82,0.92,0.97,0.88,0.56,0.68,0.96,0.97,0.86,1.09,1.02
d_1,0.89,0.8,0.66,1.94,0.76,0.78,1.04,0.89,0.67,1.65,1.21,1.0,1.02,1.23,1.03,0.98
b_1,0.84,0.78,0.83,0.75,2.07,1.4,0.96,0.96,0.89,0.91,0.71,0.95,0.91,0.89,1.06,0.93
a_1,0.86,0.83,0.84,0.94,0.77,2.89,1.09,0.89,0.93,1.02,1.02,0.94,0.97,0.78,0.97,0.79
h_1,1.06,0.82,0.89,0.97,0.85,0.69,1.73,1.3,0.94,1.02,1.01,1.0,0.83,1.02,1.15,1.42
g_1,0.83,0.68,0.89,1.34,0.76,0.8,0.96,2.03,0.87,1.04,1.02,1.6,1.09,1.14,1.51,0.99
d_0,0.82,0.77,1.48,0.73,0.95,0.76,0.92,1.0,1.39,0.64,0.95,1.05,1.12,0.86,1.06,1.17
c_0,1.03,0.9,0.73,0.95,0.64,0.92,1.1,1.07,0.96,1.44,1.82,1.05,1.16,1.33,1.14,0.98
b_0,1.03,0.95,0.91,0.99,0.61,0.71,1.08,1.07,0.97,1.07,1.66,1.1,1.23,1.92,1.02,1.16
f_0,0.8,0.7,0.98,0.89,0.82,0.93,1.3,1.1,1.18,1.04,1.0,1.8,1.18,0.95,2.33,1.19
h_0,1.1,0.86,0.91,0.96,0.82,0.77,0.74,1.33,0.89,0.96,1.01,1.2,0.92,1.14,0.96,1.35
a_0,0.92,0.95,0.88,0.96,0.92,0.78,1.07,0.84,0.77,1.06,1.15,0.99,1.1,1.93,0.86,1.06
e_0,1.02,0.71,0.87,0.87,1.0,0.88,1.04,1.21,1.02,0.87,1.07,1.27,1.31,1.01,2.09,1.24
g_0,0.82,0.75,0.89,1.24,0.86,0.81,1.0,1.0,0.82,1.07,1.0,1.5,1.19,1.05,1.24,0.91
