,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.47,0.29,0.14,0.17,0.15,0.15,0.17,0.21,0.15,0.18,,0.19,0.19,0.17,0.13,0.22
e_1,0.15,1.48,0.17,0.13,0.14,0.14,0.17,0.33,0.21,0.19,0.17,0.19,0.27,,0.18,0.14
c_1,0.2,0.16,1.54,0.14,0.24,0.15,0.2,0.19,0.18,,0.2,0.16,0.23,,0.16,0.26
d_1,0.16,0.2,0.18,1.55,0.13,0.14,0.24,,0.17,0.3,0.24,0.15,0.19,0.16,0.18,0.17
b_1,0.19,0.19,0.15,0.2,1.61,0.22,0.19,0.23,0.17,0.18,0.17,,0.25,,0.18,0.2
a_1,0.19,0.17,0.22,0.17,0.14,1.73,0.21,0.28,0.17,,0.18,,0.26,0.19,,0.22
h_1,0.59,0.33,0.44,0.31,0.39,0.27,1.66,0.44,0.58,0.6,0.31,0.4,,0.3,0.43,0.48
d_0,0.55,0.41,0.59,,0.43,0.32,0.56,1.42,0.44,0.62,0.65,0.42,0.65,0.31,0.45,0.64
g_1,0.47,0.31,0.3,0.58,0.33,0.33,0.38,0.49,1.74,0.36,0.74,0.42,0.4,,0.43,
c_0,0.5,0.54,,0.47,0.4,,0.5,0.44,0.53,1.42,0.69,0.87,0.58,0.46,0.48,0.41
f_0,,0.52,0.47,0.42,0.46,0.38,0.62,0.51,0.39,0.57,1.48,0.55,0.74,0.8,,0.56
b_0,0.47,0.54,0.61,0.41,,,0.59,0.6,0.6,0.52,0.54,1.47,0.67,0.37,0.65,0.54
h_0,0.81,0.54,0.6,0.61,0.6,0.44,,0.69,0.85,0.72,0.6,0.8,,0.51,0.44,0.73
e_0,0.41,,,0.6,,0.51,0.67,0.86,,0.68,0.44,0.75,0.68,1.66,,0.69
a_0,0.63,0.4,0.48,0.46,0.39,,0.58,0.64,0.47,0.67,,0.52,0.66,,1.68,
g_0,0.46,0.69,0.51,0.9,0.69,0.49,0.78,0.53,,0.86,0.93,0.68,0.75,0.63,,
