,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.75,2.36,1.95,2.67,2.25,2.36,8.1,8.57,10.58,17.71,9.98,11.15,10.86,16.58,7.44,16.09
f_1,3.74,6.19,1.89,2.33,1.98,1.98,7.62,6.98,8.78,10.38,6.1,10.2,10.85,14.09,7.78,12.9
d_1,2.07,2.22,6.31,1.72,2.13,2.45,9.14,8.36,19.22,7.09,11.79,13.79,11.26,14.88,12.04,18.45
c_1,1.96,2.01,2.23,7.19,4.25,2.16,8.25,7.64,4.89,9.68,10.57,6.81,10.48,14.61,11.23,14.55
b_1,1.93,2.43,2.2,2.42,7.79,4.12,7.67,8.44,8.97,8.88,10.72,5.22,7.08,16.18,9.81,13.77
a_1,2.54,2.34,2.31,2.21,1.84,10.77,8.93,8.32,10.8,11.51,11.32,11.16,7.57,19.32,14.15,17.17
h_1,2.2,3.36,2.42,2.62,2.34,2.41,16.91,10.99,10.6,10.81,9.83,13.31,10.92,13.15,12.33,22.63
g_1,2.21,2.25,3.52,2.63,2.57,1.98,7.17,19.4,11.49,9.9,16.69,11.13,10.19,18.62,11.54,14.72
c_0,2.29,2.9,2.92,2.12,1.86,2.34,9.83,8.98,18.98,10.97,12.5,23.75,14.56,19.82,16.05,20.53
d_0,2.2,2.59,1.79,4.5,2.7,1.6,8.4,9.13,8.09,18.35,10.78,11.09,12.47,19.39,14.22,14.54
f_0,1.98,2.02,2.88,2.76,2.26,2.52,9.47,9.11,13.32,13.42,22.14,13.13,13.06,17.87,28.34,20.78
b_0,2.36,2.87,2.56,2.94,1.59,1.85,9.23,9.24,11.98,12.88,13.37,22.3,24.18,18.78,13.44,22.67
a_0,2.28,3.0,2.75,2.71,2.14,1.59,10.33,9.73,11.58,11.18,12.64,11.41,27.09,18.36,11.83,18.57
h_0,2.32,3.51,2.68,2.18,2.24,2.58,6.44,11.58,11.18,10.36,10.72,10.42,11.4,14.56,9.93,23.63
e_0,2.04,2.99,2.55,2.41,2.85,1.93,9.63,8.51,11.84,11.25,13.41,14.14,14.52,17.23,27.57,19.6
g_0,2.19,2.13,3.95,2.45,2.23,2.25,8.31,6.84,11.15,10.15,17.5,13.57,13.0,16.81,14.13,15.31
