,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.93,0.37,0.3,0.36,0.31,0.3,0.67,0.54,1.61,0.87,0.76,0.63,0.92,1.04,0.18,0.81
f_1,0.6,23.22,0.37,0.34,0.32,0.36,0.68,0.79,0.66,0.62,0.75,0.13,0.78,0.63,0.58,0.77
d_1,0.27,0.37,26.53,0.3,0.32,0.4,0.63,0.88,0.14,1.69,0.95,0.8,0.88,0.63,0.98,0.85
c_1,0.32,0.34,0.29,28.3,0.73,0.31,0.62,0.69,0.74,0.16,0.54,0.72,0.84,0.92,1.0,0.73
b_1,0.35,0.32,0.38,0.37,31.39,0.68,0.65,0.65,0.77,0.69,0.18,0.91,0.9,0.49,0.57,0.73
a_1,0.34,0.36,0.35,0.25,0.27,53.18,0.97,0.7,0.66,0.86,0.84,1.22,0.99,0.2,0.85,0.76
h_1,0.55,0.97,0.7,0.57,0.61,0.47,10.94,1.62,1.29,1.44,1.64,1.45,0.44,0.92,1.28,2.34
g_1,0.45,0.5,1.13,0.5,0.62,0.67,1.15,11.27,1.34,1.62,2.04,2.37,1.51,1.23,1.51,1.06
d_0,0.61,0.68,0.17,1.61,0.69,0.42,1.93,1.28,5.47,0.87,1.3,1.63,1.69,1.82,1.5,1.63
c_0,0.73,0.89,0.59,0.24,0.43,0.56,1.91,1.85,1.8,5.66,3.61,1.47,1.79,2.05,1.7,1.79
b_0,0.7,0.68,0.68,0.73,0.2,0.7,1.47,1.23,1.42,1.37,6.45,1.69,1.84,3.64,1.59,1.88
f_0,0.47,0.31,0.72,0.85,0.72,0.58,1.3,1.34,1.67,1.53,1.95,7.51,2.26,1.86,4.93,1.76
h_0,0.58,0.82,0.7,0.68,0.64,0.68,0.51,1.24,1.35,1.23,1.34,1.7,0.52,1.61,1.5,3.09
a_0,0.51,0.76,0.64,0.9,0.74,,1.87,1.21,1.55,1.18,1.85,1.51,1.6,8.94,1.41,1.27
e_0,0.27,0.59,0.8,0.89,0.71,0.67,1.51,1.33,1.98,1.76,1.71,2.16,1.74,1.01,10.0,2.3
g_0,0.47,0.42,1.43,0.77,0.52,0.75,1.45,0.51,1.11,1.17,1.21,3.5,1.47,1.37,1.61,0.81
