,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.77,0.87,1.29,1.03,0.81,0.72,0.72,0.9,0.65,0.76,0.66,0.6,0.61,0.62,0.63
f_1,1.34,1.0,0.91,0.93,0.96,0.71,0.61,0.73,0.65,0.62,0.6,0.62,0.52,0.47,0.54,0.52
d_1,1.13,1.12,1.0,0.88,0.88,0.84,0.72,0.57,0.76,0.8,0.62,0.69,0.58,0.6,0.52,0.59
c_1,0.78,1.08,1.15,1.0,1.23,0.95,0.7,0.64,0.47,0.49,0.6,0.53,0.61,0.56,0.55,0.55
b_1,0.98,1.04,1.11,0.81,1.0,1.24,0.75,0.75,0.68,0.76,0.61,0.6,0.72,0.64,0.63,0.57
a_1,1.22,1.34,1.2,1.07,0.82,1.0,0.9,0.84,0.76,0.83,0.78,0.79,0.72,0.65,0.72,0.68
h_1,1.34,1.64,1.36,1.48,1.31,1.08,1.0,1.09,0.87,0.9,0.86,0.91,0.84,0.68,0.9,0.74
g_1,1.3,1.42,1.79,1.59,1.34,1.2,0.88,1.0,0.84,0.92,1.24,0.97,0.78,0.85,0.9,0.77
d_0,1.12,1.54,1.38,2.07,1.51,1.27,1.12,1.11,1.0,0.78,1.02,0.89,0.85,0.92,0.93,0.84
c_0,1.57,1.59,1.26,1.86,1.34,1.18,1.11,1.11,1.24,1.0,1.14,1.35,1.05,0.93,0.86,0.98
f_0,1.27,1.55,1.67,1.65,1.67,1.35,1.11,0.8,0.97,0.93,1.0,0.98,0.88,1.34,0.74,0.92
b_0,1.5,1.59,1.38,1.88,1.7,1.21,1.11,1.06,1.1,0.72,1.13,1.0,1.06,0.91,0.94,1.2
h_0,1.65,1.96,1.79,1.71,1.41,1.32,1.17,1.3,1.06,0.94,1.15,0.93,1.0,0.96,1.13,0.87
e_0,1.52,2.18,1.7,1.75,1.6,1.51,1.4,1.13,1.19,1.06,0.73,1.02,1.1,1.0,0.92,0.83
g_0,1.6,1.82,1.92,1.82,1.64,1.35,1.1,1.11,1.05,1.1,1.33,1.1,0.88,1.14,1.0,0.94
a_0,1.6,1.85,1.78,1.83,1.82,1.55,1.3,1.31,1.07,1.04,1.05,0.85,1.13,1.11,1.01,1.0
