,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,3.75,0.38,0.34,0.43,0.41,0.35,0.74,0.72,1.56,0.71,0.83,0.83,0.86,0.93,0.23,0.91
f_1,0.8,3.76,0.38,0.4,0.32,0.3,0.76,0.63,0.75,0.59,0.2,0.77,0.81,0.77,0.43,0.74
d_1,0.33,0.41,4.44,0.35,0.36,0.45,0.79,0.68,0.16,1.96,0.73,0.85,0.85,0.77,0.85,0.72
c_1,0.35,0.41,0.34,4.5,0.76,0.31,0.76,0.61,0.81,0.14,0.74,0.66,0.88,0.68,0.86,0.85
b_1,0.38,0.38,0.35,0.41,4.83,0.73,0.74,0.81,0.76,0.79,0.92,0.16,0.81,0.65,0.78,0.84
a_1,0.39,0.45,0.38,0.35,0.33,7.01,0.57,0.64,0.72,0.92,0.77,0.86,1.19,0.43,0.84,1.03
h_1,0.57,0.92,0.82,0.59,0.72,0.65,4.79,1.81,1.15,1.38,1.42,1.29,0.48,1.34,1.37,1.61
g_1,0.56,0.69,1.23,0.62,0.48,0.61,1.08,6.03,0.94,1.23,2.5,1.51,1.51,1.35,1.15,0.53
d_0,0.56,0.7,0.21,1.36,0.79,0.6,1.4,1.35,4.0,0.98,1.64,1.71,1.37,1.5,1.63,1.29
c_0,0.6,0.91,0.77,0.24,0.52,0.79,1.56,1.55,1.47,4.14,1.54,3.19,1.34,1.46,1.91,1.75
f_0,0.58,0.3,0.91,0.84,0.69,0.58,1.38,1.58,1.4,1.41,4.57,1.73,2.01,1.77,4.37,1.63
b_0,0.64,0.87,0.76,0.69,0.29,0.58,1.43,1.34,1.33,1.07,1.79,4.37,1.69,3.04,1.76,2.31
h_0,0.63,0.98,0.74,0.73,0.66,0.44,0.58,1.68,1.24,0.93,1.36,1.71,0.61,1.43,1.91,1.86
a_0,0.72,0.78,0.98,0.53,0.67,,1.66,1.3,1.23,1.25,2.34,1.33,2.5,6.15,2.02,1.8
e_0,0.31,0.81,0.75,0.89,0.72,0.82,1.4,1.49,1.55,1.43,1.17,1.65,1.84,0.85,6.29,2.04
g_0,0.55,0.54,1.2,0.73,0.69,0.62,1.3,0.55,1.15,1.22,2.26,1.57,1.53,1.19,1.75,0.87
