,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,12803.45,2482.23,5862.62,3950.25,4580.44,28022.28,2653921.49,5080383.61,10291180.96,12264762.16,6197546.07,23523933.13,84300865.68,142533186.11,129565644.68,86281375.34
d_1,3273.35,13685.06,2896.91,3065.55,5535.39,23354.57,2656416.41,7611648.16,5262451.81,30498529.02,22357993.33,34657380.19,109594671.58,161922244.04,149854974.11,158552067.31
e_1,2857.52,2320.47,14393.47,4152.82,6035.23,36425.08,2871453.28,6728374.39,18869200.98,16118116.24,20383519.03,28950955.01,108203502.81,162247937.02,129453761.09,79054766.02
c_1,2851.65,2834.49,2617.87,19346.1,11463.88,21501.26,2774254.64,5815445.94,9768474.54,4443918.33,16366246.47,20236013.8,92527882.2,153237980.92,127138945.41,160919713.76
b_1,2920.14,2813.37,2674.92,4111.18,32101.25,60099.79,3127349.75,6291662.95,9691790.11,15796480.37,19193599.57,11053605.09,85130909.96,160822834.75,101534091.32,169054248.09
a_1,2921.43,3412.22,2520.23,4296.64,4803.61,269183.67,2812429.99,7534763.43,11123072.46,16420006.82,23792372.9,29207302.56,94219048.01,142023561.75,33397614.51,148183680.77
h_1,4448.91,3386.16,3138.3,6190.92,6604.81,30390.99,9679974.65,10234732.52,12843112.73,18533418.37,20433121.59,35613227.16,55533301.08,280208467.73,152562144.39,237679731.23
g_1,2706.03,5590.57,3328.55,4990.99,5389.02,41227.79,2746860.81,27555179.12,10091356.27,21785566.52,35021508.89,34071207.21,104961697.11,92434468.55,118727722.19,215800560.67
d_0,3125.69,2204.35,3618.31,9022.34,7045.86,36775.19,3949825.8,9289667.13,26151463.68,15042080.73,18192007.76,31484070.32,102282067.99,177391375.06,200744848.56,170564380.03
c_0,3198.3,4007.88,3439.14,2663.99,6103.64,47628.77,3916638.73,10220184.7,14759831.5,42578683.33,30559385.76,66441470.54,140659187.82,198842393.7,216203313.13,246624784.94
f_0,1784.84,4696.77,2859.17,4883.05,7975.74,43900.8,3915042.16,11559659.6,13081585.24,22525658.08,55793056.97,40159547.6,128788185.54,204015560.49,194420288.71,411944233.03
b_0,3662.13,4377.14,3024.22,6092.61,3167.23,33507.86,3902209.83,7276490.06,13754330.82,18279126.11,25004939.17,72818703.64,133503372.01,209767838.05,359279356.97,226799690.15
h_0,4654.25,4219.51,3596.13,4639.94,7243.18,35452.22,2019407.28,10651294.41,11634668.24,18751972.83,27362750.57,36033194.46,67151721.24,252300393.11,167498351.92,170420710.57
g_0,2703.24,5616.34,3522.49,4981.34,6077.13,40299.57,3902382.75,5784760.19,12538430.12,21315915.5,38361647.09,37925912.15,93469376.17,103483536.49,194133610.0,206637015.29
a_0,3236.94,4295.28,3645.13,4912.2,6778.13,23266.28,4521657.1,7611486.79,13317136.69,15952721.67,26795682.33,30729931.96,138738135.38,247828950.95,524156552.24,130804810.06
e_0,2997.45,4596.2,1593.96,5117.35,7608.03,39011.24,4850312.79,10732017.13,12961375.03,17905945.08,24962139.31,42520866.59,144427295.23,248616846.46,209282764.54,607954267.7
