,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.48,0.64,0.73,0.76,0.66,0.35,0.4,0.41,0.29,0.34,0.41,0.28,0.27,0.39,0.29
f_1,0.71,0.41,0.65,0.71,0.62,0.54,0.27,0.32,0.41,0.29,0.27,0.34,0.33,0.21,0.27,0.27
d_1,0.76,0.7,0.39,0.66,0.62,0.65,0.38,0.4,0.26,0.33,0.33,0.27,0.32,0.23,0.27,0.18
c_1,0.57,0.67,0.82,0.39,0.74,0.62,0.37,0.19,0.35,0.32,0.26,0.28,0.28,0.25,0.28,0.26
b_1,0.63,0.8,0.76,0.43,0.36,0.78,0.38,0.3,0.37,0.4,0.36,0.29,0.29,0.28,0.31,0.23
a_1,0.68,0.77,0.72,0.68,0.41,0.3,0.44,0.3,0.41,0.34,0.38,0.31,0.34,0.32,0.26,0.3
h_1,0.62,0.72,0.58,0.62,0.62,0.56,0.24,0.29,0.34,0.27,0.25,0.26,0.27,0.28,0.27,0.26
d_0,0.41,0.63,0.8,0.78,0.67,0.69,0.37,0.23,0.38,0.26,0.28,0.27,0.31,0.27,0.32,0.27
g_1,0.56,0.64,0.68,0.71,0.61,0.59,0.3,0.28,0.21,0.28,0.26,0.31,0.34,0.19,0.29,0.28
c_0,0.67,0.7,0.42,0.96,0.62,0.6,0.39,0.39,0.32,0.23,0.33,0.29,0.31,0.24,0.29,0.25
b_0,0.56,0.68,0.53,0.82,0.79,0.55,0.38,0.28,0.33,0.18,0.22,0.26,0.36,0.25,0.26,0.26
f_0,0.51,0.98,0.64,0.63,0.65,0.52,0.37,0.29,0.24,0.26,0.29,0.21,0.27,0.24,0.33,0.18
a_0,0.66,0.61,0.55,0.66,0.76,0.75,0.36,0.29,0.29,0.24,0.17,0.28,0.19,0.24,0.28,0.25
h_0,0.62,0.65,0.64,0.62,0.61,0.6,0.37,0.28,0.35,0.27,0.27,0.26,0.27,0.26,0.23,0.25
e_0,0.75,0.85,0.56,0.65,0.53,0.61,0.32,0.3,0.27,0.3,0.28,0.17,0.26,0.25,0.19,0.21
g_0,0.57,0.69,0.68,0.6,0.71,0.62,0.28,0.32,0.35,0.29,0.28,0.28,0.3,0.19,0.28,0.27
