,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.7,0.61,0.81,0.5,0.57,0.49,0.93,1.79,0.74,0.95,0.99,1.08,1.0,1.06,0.58,0.93
f_1,1.16,2.9,0.54,0.57,0.45,0.66,0.72,0.78,0.67,0.78,0.94,0.34,0.91,0.78,0.59,0.89
c_1,0.52,0.64,2.97,0.58,1.12,0.48,1.05,0.81,0.87,0.3,0.61,1.01,0.91,0.92,0.94,0.68
d_1,0.54,0.69,0.54,3.21,0.6,0.45,0.84,0.36,1.08,1.81,1.29,1.01,1.01,1.21,1.01,1.09
b_1,0.46,0.53,0.68,0.63,3.53,1.29,0.76,0.8,0.88,0.97,0.41,0.96,0.91,0.61,0.95,1.16
a_1,0.73,0.71,0.48,0.64,0.61,4.99,1.14,0.91,0.86,0.87,0.93,0.69,1.05,0.32,1.06,0.93
h_1,0.69,1.09,0.76,0.64,0.77,0.61,3.38,1.11,1.58,0.88,1.08,1.21,0.55,1.18,1.04,1.26
d_0,0.71,0.7,1.49,0.4,0.67,0.59,1.07,2.31,1.13,0.79,1.25,1.21,1.08,1.02,1.35,1.36
g_1,0.65,0.64,0.63,1.37,0.68,0.6,0.94,0.75,3.73,1.16,1.08,1.72,1.38,0.68,1.49,0.69
c_0,0.69,0.85,0.36,0.96,0.54,0.72,1.23,1.16,0.95,2.37,2.33,1.44,1.37,1.62,1.28,1.26
b_0,0.79,0.85,0.84,0.87,0.29,0.57,1.11,1.22,1.23,1.13,2.62,1.29,1.28,2.6,1.29,1.2
f_0,0.64,0.37,0.85,1.03,0.79,0.75,1.1,1.2,1.29,1.11,1.2,2.9,1.28,1.37,2.52,1.36
h_0,0.71,1.04,0.74,0.96,0.6,0.79,0.58,1.12,1.45,1.11,1.15,1.0,0.74,1.18,1.28,1.79
a_0,0.77,1.01,0.72,0.86,0.55,0.39,1.04,1.14,1.08,1.38,1.31,1.04,1.27,3.51,1.29,1.16
e_0,0.44,0.81,0.93,0.83,0.87,0.85,1.06,1.04,1.36,0.89,1.12,1.09,1.42,1.06,3.93,1.24
g_0,0.64,0.64,0.69,1.4,0.68,0.74,1.09,0.91,0.66,1.19,1.02,2.02,1.17,1.05,1.38,0.83
