,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.97,2.67,1.36,1.49,1.43,1.27,5.12,5.24,5.38,6.22,6.93,3.22,10.97,6.17,4.81,8.58
e_1,1.7,6.09,1.2,1.78,1.42,1.33,5.91,7.17,5.97,14.62,7.74,7.27,11.45,7.8,4.08,10.6
d_1,1.59,1.43,6.5,1.05,1.56,1.58,6.52,13.69,5.69,4.45,9.13,9.76,11.14,8.31,9.36,11.48
c_1,1.52,1.25,1.54,6.71,2.82,1.08,4.59,2.6,5.01,6.45,5.4,8.07,9.46,7.91,7.16,10.49
b_1,1.37,1.27,1.78,1.53,7.07,3.11,6.01,5.67,5.25,6.16,4.02,7.09,11.09,5.23,8.22,12.05
a_1,1.55,1.25,1.81,1.91,1.21,10.73,6.49,8.39,5.81,7.24,8.1,6.6,11.72,4.07,6.26,11.56
h_1,2.5,1.68,2.18,1.6,1.88,1.8,16.68,7.11,8.13,8.83,8.88,8.39,8.51,7.81,8.17,18.48
c_0,2.15,1.99,2.01,1.43,1.28,2.01,6.94,17.04,5.17,8.28,19.09,9.42,13.1,11.27,11.4,11.69
g_1,1.65,1.6,3.09,1.78,1.65,1.79,5.67,9.1,20.59,7.6,7.67,14.25,13.63,9.88,9.7,8.75
d_0,2.11,1.88,0.9,3.86,1.54,1.99,5.52,7.06,6.31,16.21,9.62,7.99,11.97,9.5,7.32,11.59
b_0,2.12,2.03,2.01,2.05,1.23,1.19,4.39,9.07,8.41,9.98,19.14,8.46,15.64,21.68,11.71,13.74
f_0,1.35,1.61,2.04,2.28,2.31,1.93,6.82,8.54,6.89,9.95,9.49,18.96,14.34,10.27,21.45,11.79
h_0,2.64,1.76,1.94,1.91,1.74,1.93,3.94,8.42,9.35,9.38,10.01,7.64,9.11,8.74,8.79,19.18
a_0,2.25,1.88,2.03,1.92,1.8,1.05,8.25,8.37,5.36,9.4,9.25,9.61,13.7,24.0,9.96,13.97
e_0,2.01,1.28,1.9,2.07,2.19,1.46,7.69,8.5,7.84,9.21,10.02,7.76,13.91,9.45,27.78,15.71
g_0,1.62,1.62,3.29,2.12,1.79,1.68,6.71,8.5,4.06,6.77,7.87,15.05,10.58,9.25,8.62,8.92
